printing_id,canonical_code,variant_family,official_image_url,official_image_stem,png_saved_path,webp_saved_path,png_exists_after,webp_exists_after,fetch_status,notes
6149,OP15-001,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-001_alt.png,OP15-001_alt,D:\Miru_Assets\OP15\alt_art\OP15-001_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-001_alt.webp,0,0,FETCH_FAILED,http_404
6160,OP15-008,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-008_alt.png,OP15-008_alt,D:\Miru_Assets\OP15\alt_art\OP15-008_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-008_alt.webp,0,0,FETCH_FAILED,http_404
6175,OP15-022,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-022_alt.png,OP15-022_alt,D:\Miru_Assets\OP15\alt_art\OP15-022_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-022_alt.webp,0,0,FETCH_FAILED,http_404
6187,OP15-032,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-032_alt.png,OP15-032_alt,D:\Miru_Assets\OP15\alt_art\OP15-032_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-032_alt.webp,0,0,FETCH_FAILED,http_404
6195,OP15-039,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-039_alt.png,OP15-039_alt,D:\Miru_Assets\OP15\alt_art\OP15-039_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-039_alt.webp,0,0,FETCH_FAILED,http_404
6205,OP15-047,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-047_alt.png,OP15-047_alt,D:\Miru_Assets\OP15\alt_art\OP15-047_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-047_alt.webp,0,0,FETCH_FAILED,http_404
6212,OP15-053,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-053_alt.png,OP15-053_alt,D:\Miru_Assets\OP15\alt_art\OP15-053_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-053_alt.webp,0,0,FETCH_FAILED,http_404
6218,OP15-058,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-058_alt.png,OP15-058_alt,D:\Miru_Assets\OP15\alt_art\OP15-058_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-058_alt.webp,0,0,FETCH_FAILED,http_404
6221,OP15-060,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-060_alt.png,OP15-060_alt,D:\Miru_Assets\OP15\alt_art\OP15-060_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-060_alt.webp,0,0,FETCH_FAILED,http_404
6251,OP15-086,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-086_alt.png,OP15-086_alt,D:\Miru_Assets\OP15\alt_art\OP15-086_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-086_alt.webp,0,0,FETCH_FAILED,http_404
6258,OP15-092,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-092_alt.png,OP15-092_alt,D:\Miru_Assets\OP15\alt_art\OP15-092_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-092_alt.webp,0,0,FETCH_FAILED,http_404
6265,OP15-098,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-098_alt.png,OP15-098_alt,D:\Miru_Assets\OP15\alt_art\OP15-098_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-098_alt.webp,0,0,FETCH_FAILED,http_404
6277,OP15-109,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-109_alt.png,OP15-109_alt,D:\Miru_Assets\OP15\alt_art\OP15-109_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-109_alt.webp,0,0,FETCH_FAILED,http_404
6282,OP15-113,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-113_alt.png,OP15-113_alt,D:\Miru_Assets\OP15\alt_art\OP15-113_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-113_alt.webp,0,0,FETCH_FAILED,http_404
6290,OP15-118,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-118_alt.png,OP15-118_alt,D:\Miru_Assets\OP15\alt_art\OP15-118_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-118_alt.webp,0,0,FETCH_FAILED,http_404
6293,OP15-119,alt,https://en.onepiece-cardgame.com/images/cardlist/card/OP15-119_alt.png,OP15-119_alt,D:\Miru_Assets\OP15\alt_art\OP15-119_alt.png,D:\Miru_Assets\OP15\alt_art\OP15-119_alt.webp,0,0,FETCH_FAILED,http_404
