printing_id,canonical_code,variant_family,official_cardlist_page_used,official_img_src,resolved_official_stem,resolved_suffix_type,png_saved_path,webp_saved_path,png_exists_after,webp_exists_after,fetch_status,dev_thumb_visible,full_png_modal_verified,notes
6149,OP15-001,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-001_p1.png?260330,OP15-001_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-001_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-001_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6160,OP15-008,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-008_p1.png?260330,OP15-008_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-008_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-008_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6175,OP15-022,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-022_p1.png?260330,OP15-022_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-022_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-022_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6187,OP15-032,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-032_p1.png?260330,OP15-032_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-032_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-032_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6195,OP15-039,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-039_p1.png?260330,OP15-039_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-039_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-039_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6205,OP15-047,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-047_p1.png?260330,OP15-047_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-047_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-047_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6212,OP15-053,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-053_p1.png?260330,OP15-053_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-053_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-053_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6218,OP15-058,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-058_p1.png?260330,OP15-058_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-058_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-058_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6221,OP15-060,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-060_p1.png?260330,OP15-060_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-060_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-060_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6251,OP15-086,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-086_p1.png?260330,OP15-086_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-086_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-086_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6258,OP15-092,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-092_p1.png?260330,OP15-092_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-092_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-092_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6265,OP15-098,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-098_p1.png?260330,OP15-098_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-098_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-098_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6277,OP15-109,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-109_p1.png?260330,OP15-109_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-109_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-109_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6282,OP15-113,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-113_p1.png?260330,OP15-113_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-113_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-113_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6290,OP15-118,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-118_p1.png?260330,OP15-118_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-118_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-118_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
6293,OP15-119,alt,https://en.onepiece-cardgame.com/cardlist/,../images/cardlist/card/OP15-119_p1.png?260330,OP15-119_p1,_p1,D:\Miru_Assets\OP15\alt_art\OP15-119_p1.png,D:\Miru_Assets\OP15\alt_art\OP15-119_p1.webp,1,1,OK,pending_operator,pending_operator,PNG_ALREADY_PRESENT_SKIP; WEBP_ALREADY_PRESENT
