printing_id,canonical_code,candidate_mp_id,candidate_mp_name,subtype,pre_install_status,install_sql,rollback_sql,notes
6149,OP15-001,5455,Krieg (OP15-001) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6149, 5455, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-001 -> mp:5455 (Krieg (OP15-001) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6149 AND market_product_id = 5455,All safety checks passed
6160,OP15-008,5466,Krieg (OP15-008) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6160, 5466, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-008 -> mp:5466 (Krieg (OP15-008) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6160 AND market_product_id = 5466,All safety checks passed
6175,OP15-022,5481,Brook (OP15-022) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6175, 5481, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-022 -> mp:5481 (Brook (OP15-022) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6175 AND market_product_id = 5481,All safety checks passed
6187,OP15-032,5493,Brook (OP15-032) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6187, 5493, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-032 -> mp:5493 (Brook (OP15-032) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6187 AND market_product_id = 5493,All safety checks passed
6195,OP15-039,5501,Rebecca (OP15-039) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6195, 5501, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-039 -> mp:5501 (Rebecca (OP15-039) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6195 AND market_product_id = 5501,All safety checks passed
6205,OP15-047,5511,Sanji (OP15-047) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6205, 5511, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-047 -> mp:5511 (Sanji (OP15-047) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6205 AND market_product_id = 5511,All safety checks passed
6212,OP15-053,5518,Rebecca (OP15-053) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6212, 5518, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-053 -> mp:5518 (Rebecca (OP15-053) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6212 AND market_product_id = 5518,All safety checks passed
6218,OP15-058,5524,Enel (OP15-058) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6218, 5524, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-058 -> mp:5524 (Enel (OP15-058) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6218 AND market_product_id = 5524,All safety checks passed
6221,OP15-060,5527,Enel (OP15-060) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6221, 5527, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-060 -> mp:5527 (Enel (OP15-060) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6221 AND market_product_id = 5527,All safety checks passed
6251,OP15-086,5557,Nami (OP15-086) (Alternate Art),Foil,CLEAR_TO_INSTALL,"INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6251, 5557, 'HIGH', 'chapter19_batch2_install', 'chapter19.14 reviewed OP15 alt-art batch install; OP15-086 -> mp:5557 (Nami (OP15-086) (Alternate Art)); subtype=Foil', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6251 AND market_product_id = 5557,All safety checks passed
