cv_id,canonical_code,cv_variant_type,new_candidate_mp_id,new_candidate_mp_name,strong_signal_matched,pre_install_status,pre_install_notes,snapshot_cv_map_count,snapshot_mp_map_count,snapshot_price_row_count,snapshot_unique_risk,install_sql,rollback_sql
6151,OP15-002,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5457,Lucy (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6151, 5457, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6151 AND market_product_id = 5457
6153,OP15-003,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5459,Alvida (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6153, 5459, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6153 AND market_product_id = 5459
6158,OP15-007,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5464,Gin (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6158, 5464, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6158 AND market_product_id = 5464
6179,OP15-025,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5485,Kuro (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6179, 5485, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6179 AND market_product_id = 5485
6203,OP15-046,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5509,Sabo (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6203, 5509, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6203 AND market_product_id = 5509
6223,OP15-061,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5529,Ohm (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6223, 5529, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6223 AND market_product_id = 5529
6240,OP15-077,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5546,Lightning Dragon (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6240, 5546, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6240 AND market_product_id = 5546
6242,OP15-078,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5548,Mamaragan (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6242, 5548, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6242 AND market_product_id = 5548
6284,OP15-114,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5590,Wyper (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6284, 5590, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6284 AND market_product_id = 5590
6287,OP15-116,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5593,Gum-Gum Golden Rifle (Alternate Art),Alternate Art,CLEAR_TO_INSTALL,All pre-install checks passed in read-only snapshot.,0,0,1,"rollback keys: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6287, 5593, 'HIGH', 'chapter19_overlay', 'chapter19.7 planned install from chapter19_6 alt sibling selection', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6287 AND market_product_id = 5593
