card_variant_id,card_variants_card_id,card_canonical_code,card_card_code,card_name,card_rarity,card_source,candidate_market_product_pk,candidate_market_product_external_id,candidate_product_name,candidate_clean_name,candidate_ext_number,candidate_rarity,candidate_subtype,candidate_source_name,match_confidence,match_score,match_reasons,needs_manual_review,derived_number_key,derived_set_key,pool_size,scored_candidates,cv_variant_key,cv_variant_label,cv_source,cv_print_id,cv_image_path,cv_image_url,cv_release_set_code,cv_is_base,cv_official_provenance
4,1,EB01-001,,Kouzuki Oden,L,,3907,629086,Kouzuki Oden (SP),Kouzuki Oden SP,EB01-001,L,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-001,EB02,3,3,parallel_2,Parallel 2,official-cardlist,EB01-001_p2,EB02/parallel/EB01-001_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p2.png?260305,EB02,0,-Anime 25th Collection- [EB-02]
15,3,EB01-003,,Kid & Killer,R,OP14,5235,671449,Kid & Killer - EB01-003 (SP),Kid and Killer EB01 003 SP,EB01-003,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-003,OP14,10,10,parallel_5,Parallel 5,official-cardlist,EB01-003_p5,OP14/parallel/EB01-003_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p5.png?260305,OP14,0,-THE AZURE SEA’S SEVEN- [OP14-EB04]
28,6,EB01-006,,Tony Tony.Chopper,SR,,3372,587962,Tony Tony.Chopper (EB01-006) (Manga),Tony TonyChopper EB01 006 Manga,EB01-006,SR,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,EB01-006,PRB01,5,5,r1,R1,official-cardlist,EB01-006_r1,PRB01/reprint/EB01-006_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_r1.png?260305,PRB01,0,-ONE PIECE CARD THE BEST- [PRB-01]
31,7,EB01-007,,Yamato,C,,2719,544533,Yamato,Yamato,EB01-007,C,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-007,EB01,2,2,parallel_1,Parallel 1,official-cardlist,EB01-007_p1,BCV4/parallel/EB01-007_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007_p1.png?260305,EB01,0,Premium Card Collection -Best Selection Vol.4-
48,12,EB01-012,,Cavendish,SR,,4786,655981,Cavendish - EB01-012 (Reprint),Cavendish EB01 012 Reprint,EB01-012,SR,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,EB01-012,PRB02,4,4,r1,R1,official-cardlist,EB01-012_r1,PRB02/reprint/EB01-012_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_r1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
55,14,EB01-014,,Sanji,R,,2728,544542,Sanji,Sanji,EB01-014,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,EB01-014,EB01,4,4,alt,Alt,local-catalog,EB01-014::alt,thumbs/EB01-014alt.webp,,EB01,0,
56,14,EB01-014,,Sanji,R,,2728,544542,Sanji,Sanji,EB01-014,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-014,EB01,4,4,parallel_1,Parallel 1,official-cardlist,EB01-014_p1,CS2526CP/parallel/EB01-014_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014_p1.png?260305,EB01,0,CS 25-26 Celebration Pack
59,15,EB01-015,,Scratchmen Apoo,R,,2729,544543,Scratchmen Apoo,Scratchmen Apoo,EB01-015,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,EB01-015,EB01,7,7,alt,Alt,local-catalog,EB01-015::alt,thumbs/EB01-015alt.webp,,EB01,0,
60,15,EB01-015,,Scratchmen Apoo,R,,2729,544543,Scratchmen Apoo,Scratchmen Apoo,EB01-015,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-015,EB01,7,7,parallel_1,Parallel 1,official-cardlist,EB01-015_p1,TK2025V2/parallel/EB01-015_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p1.png?260305,EB01,0,Tournament Kit 2025 Vol.2
61,15,EB01-015,,Scratchmen Apoo,R,,2729,544543,Scratchmen Apoo,Scratchmen Apoo,EB01-015,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-015,EB01,7,7,parallel_2,Parallel 2,official-cardlist,EB01-015_p2,_unclassified/parallel/EB01-015_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p2.png?260305,EB01,0,Winner Pack 2025 Vol.2
62,15,EB01-015,,Scratchmen Apoo,R,,4198,634598,Scratchmen Apoo (Reprint),Scratchmen Apoo Reprint,EB01-015,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-015,ST24,7,7,parallel_3,Parallel 3,official-cardlist,EB01-015_p3,ST24/parallel/EB01-015_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p3.png?260305,ST24,0,-GREEN Jewelry Bonney- [ST-24]
63,15,EB01-015,,Scratchmen Apoo,R,,2729,544543,Scratchmen Apoo,Scratchmen Apoo,EB01-015,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-015,EB01,7,7,parallel_4,Parallel 4,official-cardlist,EB01-015_p4,CS2526CP/parallel/EB01-015_p4.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p4.png?260305,EB01,0,CS 25-26 Celebration Pack
65,15,EB01-015,,Scratchmen Apoo,R,,2729,544543,Scratchmen Apoo,Scratchmen Apoo,EB01-015,R,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,EB01-015,EB01,7,7,alt,Prb02,local-catalog,EB01-015::prb02,thumbs/EB01-015(PRB02).webp,,EB01,0,
83,21,EB01-021,,Hannyabal,L,,3908,629087,Hannyabal (SP),Hannyabal SP,EB01-021,L,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,EB01-021,EB02,3,3,parallel_2,Parallel 2,official-cardlist,EB01-021_p2,EB02/parallel/EB01-021_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p2.png?260305,EB02,0,-Anime 25th Collection- [EB-02]
