card_variant_id,card_variants_card_id,card_canonical_code,card_card_code,card_name,card_rarity,card_source,candidate_market_product_pk,candidate_market_product_external_id,candidate_product_name,candidate_clean_name,candidate_ext_number,candidate_rarity,candidate_subtype,candidate_source_name,match_confidence,match_score,match_reasons,needs_manual_review,derived_number_key,derived_set_key,pool_size,scored_candidates,cv_variant_key,cv_variant_label,cv_source,cv_print_id,cv_image_path,cv_image_url,cv_release_set_code,cv_is_base,cv_official_provenance
3,1,EB01-001,,Kouzuki Oden,L,,2709,544523,Kouzuki Oden,Kouzuki Oden,EB01-001,L,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-001,EB01,3,3,parallel_1,Parallel 1,official-cardlist,EB01-001_p1,EB01/parallel/EB01-001_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
9,3,EB01-003,,Kid & Killer,R,OP14,2713,544527,Kid & Killer (Alternate Art),Kid and Killer Alternate Art,EB01-003,R,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-003,EB01,10,10,alt,Alt,local-catalog,EB01-003::alt,thumbs/EB01-003alt.webp,,EB01,0,
10,3,EB01-003,,Kid & Killer,R,OP14,2713,544527,Kid & Killer (Alternate Art),Kid and Killer Alternate Art,EB01-003,R,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-003,EB01,10,10,alt,Alt Art 2,local-catalog,EB01-003::alt art 2,thumbs/EB01-003alt2.webp,,EB01,0,
11,3,EB01-003,,Kid & Killer,R,OP14,2712,544526,Kid & Killer,Kid and Killer,EB01-003,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-003,EB01,10,10,parallel_1,Parallel 1,official-cardlist,EB01-003_p1,EB01/parallel/EB01-003_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
12,3,EB01-003,,Kid & Killer,R,OP14,2712,544526,Kid & Killer,Kid and Killer,EB01-003,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-003,EB01,10,10,parallel_2,Parallel 2,official-cardlist,EB01-003_p2,_unclassified/parallel/EB01-003_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p2.png?260305,EB01,0,Offline Regional Participation Pack 2025 Vol.2
13,3,EB01-003,,Kid & Killer,R,OP14,2712,544526,Kid & Killer,Kid and Killer,EB01-003,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-003,EB01,10,10,parallel_3,Parallel 3,official-cardlist,EB01-003_p3,ORFC2025V2/parallel/EB01-003_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p3.png?260305,EB01,0,Offline Regional Finalist Card Set 2025 Vol.2
14,3,EB01-003,,Kid & Killer,R,OP14,1633,646720,Kid & Killer (Offline Regional Champion Card Set 2025 Vol.2),Kid and Killer Offline Regional Champion Card Set 2025 Vol2,EB01-003,R,,tcgcsv,low,67,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-003,ORFC2025V2,10,10,sp,Parallel 4,image-review-reclassify,EB01-003_p4,ORFC2025V2/alt_art/EB01-003_alt.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p4.png?260305,ORFC2025V2,0,Offline Regional Champion Card Set 2025 Vol.2
16,3,EB01-003,,Kid & Killer,R,OP14,2712,544526,Kid & Killer,Kid and Killer,EB01-003,R,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-003,EB01,10,10,sp,SP,local-catalog,EB01-003::sp,thumbs/EB01-003(SP).webp,,EB01,0,
23,6,EB01-006,,Tony Tony.Chopper,SR,,2717,544531,Tony Tony.Chopper (Alternate Art),Tony TonyChopper Alternate Art,EB01-006,SR,,tcgcsv,low,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-006,EB01,5,5,alt,Alt,local-catalog,EB01-006::alt,thumbs/EB01-006alt.webp,,EB01,0,
24,6,EB01-006,,Tony Tony.Chopper,SR,,2716,544530,Tony Tony.Chopper,Tony TonyChopper,EB01-006,SR,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-006,EB01,5,5,mr,Manga,local-catalog,EB01-006::manga,thumbs/EB01-006 Manga Rare.webp,,EB01,0,
25,6,EB01-006,,Tony Tony.Chopper,SR,,2716,544530,Tony Tony.Chopper,Tony TonyChopper,EB01-006,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-006,EB01,5,5,parallel_1,Parallel 1,official-cardlist,EB01-006_p1,EB01/parallel/EB01-006_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
26,6,EB01-006,,Tony Tony.Chopper,SR,,2716,544530,Tony Tony.Chopper,Tony TonyChopper,EB01-006,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-006,EB01,5,5,parallel_2,Parallel 2,official-cardlist,EB01-006_p2,EB01/parallel/EB01-006_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p2.png?260305,EB01,0,-Memorial Collection- [EB-01]
27,6,EB01-006,,Tony Tony.Chopper,SR,,2716,544530,Tony Tony.Chopper,Tony TonyChopper,EB01-006,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-006,EB01,5,5,parallel_3,Parallel 3,official-cardlist,EB01-006_p3,_unclassified/parallel/EB01-006_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p3.png?260305,EB01,0,Treasure Cup November-December
36,9,EB01-009,,Just Shut Up and Come with Us!!!!,C,,4784,655979,Just Shut Up and Come with Us!!!! (Reprint),Just Shut Up and Come with Us Reprint,EB01-009,C,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-009,PRB02,3,3,parallel_1,Parallel 1,official-cardlist,EB01-009_p1,PRB02/parallel/EB01-009_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_p1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
37,9,EB01-009,,Just Shut Up and Come with Us!!!!,C,,4784,655979,Just Shut Up and Come with Us!!!! (Reprint),Just Shut Up and Come with Us Reprint,EB01-009,C,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-009,PRB02,3,3,r1,R1,official-cardlist,EB01-009_r1,PRB02/reprint/EB01-009_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_r1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
44,12,EB01-012,,Cavendish,SR,,2725,544539,Cavendish (Alternate Art),Cavendish Alternate Art,EB01-012,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-012,EB01,4,4,alt,Alt,local-catalog,EB01-012::alt,thumbs/EB01-012alt.webp,,EB01,0,
45,12,EB01-012,,Cavendish,SR,,2725,544539,Cavendish (Alternate Art),Cavendish Alternate Art,EB01-012,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-012,EB01,4,4,alt,Alt Art 2,local-catalog,EB01-012::alt art 2,thumbs/EB01-012alt2.webp,,EB01,0,
46,12,EB01-012,,Cavendish,SR,,2724,544538,Cavendish,Cavendish,EB01-012,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-012,EB01,4,4,parallel_1,Parallel 1,official-cardlist,EB01-012_p1,EB01/parallel/EB01-012_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
47,12,EB01-012,,Cavendish,SR,,2724,544538,Cavendish,Cavendish,EB01-012,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-012,EB01,4,4,parallel_3,Parallel 3,official-cardlist,EB01-012_p3,EB01/parallel/EB01-012_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p3.png?260305,EB01,0,
51,13,EB01-013,,Kouzuki Hiyori,R,,2727,544541,Kouzuki Hiyori (Alternate Art),Kouzuki Hiyori Alternate Art,EB01-013,R,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-013,EB01,2,2,alt,Alt,local-catalog,EB01-013::alt,thumbs/EB01-013alt.webp,,EB01,0,
52,13,EB01-013,,Kouzuki Hiyori,R,,2726,544540,Kouzuki Hiyori,Kouzuki Hiyori,EB01-013,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-013,EB01,2,2,parallel_1,Parallel 1,official-cardlist,EB01-013_p1,EB01/parallel/EB01-013_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
64,15,EB01-015,,Scratchmen Apoo,R,,4706,653917,Scratchmen Apoo - EB01-015 (Alternate Art),Scratchmen Apoo EB01 015 Alternate Art,EB01-015,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-015,PRB02,7,7,parallel_5,Parallel 5,official-cardlist,EB01-015_p5,PRB02/parallel/EB01-015_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p5.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
66,15,EB01-015,,Scratchmen Apoo,R,,4706,653917,Scratchmen Apoo - EB01-015 (Alternate Art),Scratchmen Apoo EB01 015 Alternate Art,EB01-015,R,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-015,PRB02,7,7,r1,R1,official-cardlist,EB01-015_r1,PRB02/reprint/EB01-015_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_r1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
73,18,EB01-018,,Mountain God,C,,4788,655983,Mountain God (Reprint),Mountain God Reprint,EB01-018,C,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-018,PRB02,3,3,parallel_1,Parallel 1,official-cardlist,EB01-018_p1,PRB02/parallel/EB01-018_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_p1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
74,18,EB01-018,,Mountain God,C,,4788,655983,Mountain God (Reprint),Mountain God Reprint,EB01-018,C,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-018,PRB02,3,3,r1,R1,official-cardlist,EB01-018_r1,PRB02/reprint/EB01-018_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_r1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
81,21,EB01-021,,Hannyabal,L,,2736,544550,Hannyabal (Alternate Art),Hannyabal Alternate Art,EB01-021,L,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-021,EB01,3,3,alt,Alt,local-catalog,EB01-021::alt,thumbs/EB01-021alt.webp,,EB01,0,
82,21,EB01-021,,Hannyabal,L,,2735,544549,Hannyabal,Hannyabal,EB01-021,L,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-021,EB01,3,3,parallel_1,Parallel 1,official-cardlist,EB01-021_p1,EB01/parallel/EB01-021_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
86,22,EB01-022,,Inazuma,SR,,2738,544552,Inazuma (Alternate Art),Inazuma Alternate Art,EB01-022,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-022,EB01,2,2,alt,Alt,local-catalog,EB01-022::alt,thumbs/EB01-022alt.webp,,EB01,0,
87,22,EB01-022,,Inazuma,SR,,2737,544551,Inazuma,Inazuma,EB01-022,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-022,EB01,2,2,parallel_1,Parallel 1,official-cardlist,EB01-022_p1,EB01/parallel/EB01-022_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
101,27,EB01-027,,Mr.1(Daz.Bonez),R,,2744,544558,Mr. 1 (Daz.Bonez) (Alternate Art),Mr 1 DazBonez Alternate Art,EB01-027,R,,tcgcsv,medium,111,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;name_token_overlap;source_tcgcsv,1,EB01-027,EB01,4,4,alt,Alt,local-catalog,EB01-027::alt,thumbs/EB01-027alt.webp,,EB01,0,
102,27,EB01-027,,Mr.1(Daz.Bonez),R,,2743,544557,Mr. 1 (Daz.Bonez),Mr 1 DazBonez,EB01-027,R,,tcgcsv,low,97,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;name_token_overlap;source_tcgcsv,1,EB01-027,EB01,4,4,parallel_1,Parallel 1,official-cardlist,EB01-027_p1,EB01/parallel/EB01-027_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
111,31,EB01-031,,Kalifa,R,,2749,544563,Kalifa (Alternate Art),Kalifa Alternate Art,EB01-031,R,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-031,EB01,2,2,alt,Alt,local-catalog,EB01-031::alt,thumbs/EB01-031alt.webp,,EB01,0,
112,31,EB01-031,,Kalifa,R,,2748,544562,Kalifa,Kalifa,EB01-031,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-031,EB01,2,2,parallel_1,Parallel 1,official-cardlist,EB01-031_p1,EB01/parallel/EB01-031_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
119,34,EB01-034,,Ms. Wednesday,SR,,2753,544567,Ms. Wednesday (Alternate Art),Ms Wednesday Alternate Art,EB01-034,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-034,EB01,2,2,alt,Alt,local-catalog,EB01-034::alt,thumbs/EB01-034alt.webp,,EB01,0,
120,34,EB01-034,,Ms. Wednesday,SR,,2752,544566,Ms. Wednesday,Ms Wednesday,EB01-034,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-034,EB01,2,2,parallel_1,Parallel 1,official-cardlist,EB01-034_p1,EB01/parallel/EB01-034_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-034_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
129,38,EB01-038,,Oh Come My Way,C,,4791,655986,Oh Come My Way (Reprint),Oh Come My Way Reprint,EB01-038,C,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-038,PRB02,3,3,parallel_1,Parallel 1,official-cardlist,EB01-038_p1,PRB02/parallel/EB01-038_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-038_p1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
130,38,EB01-038,,Oh Come My Way,C,,4791,655986,Oh Come My Way (Reprint),Oh Come My Way Reprint,EB01-038,C,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-038,PRB02,3,3,r1,R1,official-cardlist,EB01-038_r1,PRB02/reprint/EB01-038_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-038_r1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
135,40,EB01-040,,Kyros,L,,2760,544574,Kyros (Alternate Art),Kyros Alternate Art,EB01-040,L,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-040,EB01,3,3,alt,Alt,local-catalog,EB01-040::alt,thumbs/EB01-040alt.webp,,EB01,0,
136,40,EB01-040,,Kyros,L,,2759,544573,Kyros,Kyros,EB01-040,L,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-040,EB01,3,3,parallel_1,Parallel 1,official-cardlist,EB01-040_p1,EB01/parallel/EB01-040_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-040_p1.png?260305,EB01,0,-Memorial Collection- [EB-01]
158,46,EB01-046,,Brook,SR,,2767,544581,Brook (046) (Alternate Art),Brook 046 Alternate Art,EB01-046,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-046,EB01,3,3,alt,Alt,local-catalog,EB01-046::alt,thumbs/EB01-046alt.webp,,EB01,0,
159,46,EB01-046,,Brook,SR,,2766,544580,Brook (046),Brook 046,EB01-046,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-046,EB01,3,3,parallel_1,Parallel 1,official-cardlist,EB01-046_p1,EB01/parallel/EB01-046_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-046_p1.png?260305,EB01,0,
165,48,EB01-048,,Laboon,SR,,2770,544584,Laboon (048) (Alternate Art),Laboon 048 Alternate Art,EB01-048,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-048,EB01,4,4,alt,Alt,local-catalog,EB01-048::alt,thumbs/EB01-048alt.webp,,EB01,0,
166,48,EB01-048,,Laboon,SR,,2769,544583,Laboon (048),Laboon 048,EB01-048,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-048,EB01,4,4,parallel_1,Parallel 1,official-cardlist,EB01-048_p1,EB01/parallel/EB01-048_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048_p1.png?260305,EB01,0,
167,48,EB01-048,,Laboon,SR,,2769,544583,Laboon (048),Laboon 048,EB01-048,SR,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-048,EB01,4,4,parallel_2,Parallel 2,official-cardlist,EB01-048_p2,_unclassified/parallel/EB01-048_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048_p2.png?260305,EB01,0,Treasure Cup May 2025~
171,49,EB01-049,,T-Bone,R,,2772,544586,T-Bone (Alternate Art),T Bone Alternate Art,EB01-049,R,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-049,EB01,3,3,alt,Alt,local-catalog,EB01-049::alt,thumbs/EB01-049alt.webp,,EB01,0,
172,49,EB01-049,,T-Bone,R,,2771,544585,T-Bone,T Bone,EB01-049,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-049,EB01,3,3,parallel_1,Parallel 1,official-cardlist,EB01-049_p1,EB01/parallel/EB01-049_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-049_p1.png?260305,EB01,0,
177,51,EB01-051,,Finger Pistol,R,,4796,655991,Finger Pistol (Reprint),Finger Pistol Reprint,EB01-051,R,,tcgcsv,low,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,1,EB01-051,PRB02,3,3,parallel_1,Parallel 1,official-cardlist,EB01-051_p1,PRB02/parallel/EB01-051_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-051_p1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
179,51,EB01-051,,Finger Pistol,R,,4796,655991,Finger Pistol (Reprint),Finger Pistol Reprint,EB01-051,R,,tcgcsv,low,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,1,EB01-051,PRB02,3,3,r1,R1,official-cardlist,EB01-051_r1,PRB02/reprint/EB01-051_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-051_r1.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
182,52,EB01-052,,Viola,SR,,2776,544590,Viola (Alternate Art),Viola Alternate Art,EB01-052,SR,,tcgcsv,medium,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,1,EB01-052,EB01,2,2,alt,Alt,local-catalog,EB01-052::alt,thumbs/EB01-052alt.webp,,EB01,0,
