cluster_dimension,cluster_value,row_count
card_distribution_source,(empty),3044
card_distribution_source,EB03,36
card_distribution_source,OP14,8
card_distribution_source,EB01,8
card_distribution_source,OP13,2
card_distribution_source,OP15,1
card_rarity,R,704
card_rarity,SR,698
card_rarity,C,524
card_rarity,UC,346
card_rarity,L,297
card_rarity,SP CARD,192
card_rarity,SEC,170
card_rarity,P,142
card_rarity,TR,26
match_confidence,low,1490
match_confidence,high,1037
match_confidence,medium,501
match_confidence,none,71
release_set_code,PRB01,319
release_set_code,PRB02,313
release_set_code,OP01,177
release_set_code,OP03,129
release_set_code,OP05,128
release_set_code,OP02,128
release_set_code,OP09,128
release_set_code,OP12,118
release_set_code,OP06,116
release_set_code,OP07,115
release_set_code,OP13,113
release_set_code,P,96
release_set_code,OP11,93
release_set_code,OP04,91
release_set_code,OP14,89
release_set_code,EB02,86
release_set_code,OP10,80
release_set_code,OP08,77
release_set_code,ST01,74
release_set_code,EB01,66
release_set_code,EB03,56
release_set_code,ST21,55
release_set_code,ST13,48
release_set_code,ST10,33
release_set_code,ST22,29
release_set_code,ST03,28
release_set_code,ST29,28
release_set_code,OP15,27
release_set_code,ST04,24
release_set_code,EB04,22
release_set_code,ST17,17
release_set_code,ST11,17
release_set_code,ST15,16
release_set_code,ST18,16
release_set_code,ST16,14
release_set_code,ST07,13
release_set_code,ST19,12
release_set_code,ST06,12
release_set_code,ST02,11
release_set_code,ST24,10
release_set_code,ST20,10
release_set_code,ST26,10
release_set_code,ST28,10
release_set_code,ST23,10
release_set_code,ST27,10
release_set_code,ST25,9
release_set_code,ST05,6
release_set_code,ST12,4
release_set_code,ST08,2
release_set_code,ST09,2
release_set_code,ORFC2025V2,1
release_set_code,ST14,1
set_code,OP01,227
set_code,OP05,221
set_code,OP06,216
set_code,OP09,209
set_code,OP03,199
set_code,OP02,190
set_code,OP07,157
set_code,P,142
set_code,OP04,130
set_code,OP12,111
set_code,OP13,103
set_code,OP10,100
set_code,EB01,93
set_code,OP08,89
set_code,ST01,87
set_code,OP11,85
set_code,OP14,70
set_code,EB02,63
set_code,ST13,60
set_code,ST21,57
set_code,EB03,56
set_code,ST03,44
set_code,PRB02,39
set_code,ST10,38
set_code,ST04,34
set_code,EB04,31
set_code,ST22,29
set_code,ST29,28
set_code,OP15,27
set_code,ST06,21
set_code,ST02,18
set_code,ST07,18
set_code,ST18,17
set_code,ST14,13
set_code,ST17,13
set_code,ST12,12
set_code,ST11,11
set_code,ST16,11
set_code,ST15,9
set_code,ST05,6
set_code,ST09,5
set_code,ST19,4
set_code,PRB01,2
set_code,ST08,2
set_code,ST20,2
variant_family,parallel,1436
variant_family,alt,934
variant_family,other,425
variant_family,promo,179
variant_family,sp,83
variant_family,base,32
variant_family,tr,10
variant_source,official-cardlist,1830
variant_source,local-catalog,1268
variant_source,image-review-reclassify,1
