card_variant_id,card_variants_card_id,card_canonical_code,card_card_code,card_name,card_rarity,card_source,candidate_market_product_pk,candidate_market_product_external_id,candidate_product_name,candidate_clean_name,candidate_ext_number,candidate_rarity,candidate_subtype,candidate_source_name,match_confidence,match_score,match_reasons,needs_manual_review,derived_number_key,derived_set_key,pool_size,scored_candidates,cv_variant_key,cv_variant_label,cv_source,cv_print_id,cv_image_path,cv_image_url,cv_release_set_code,cv_is_base,cv_official_provenance
7263,2342,ST10-001,,Trafalgar Law,L,,,,,,,,,,none,0,,0,ST10-001,ST10,0,0,base,Base,official-cardlist,ST10-001,ST10/base/ST10-001.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-001.png?260305,ST10,1,
7265,2343,ST10-002,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST10-002,ST10,0,0,base,Base,official-cardlist,ST10-002,ST10/base/ST10-002.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-002.png?260305,ST10,1,
7267,2344,ST10-003,,"Eustass""Captain""Kid",L,,,,,,,,,,none,0,,0,ST10-003,ST10,0,0,base,Base,official-cardlist,ST10-003,ST10/base/ST10-003.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-003.png?260305,ST10,1,
7269,2345,ST10-004,,Sanji,C,,,,,,,,,,none,0,,0,ST10-004,ST10,0,0,base,Base,official-cardlist,ST10-004,ST10/base/ST10-004.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-004.png?260305,ST10,1,
7271,2345,ST10-004,,Sanji,C,,,,,,,,,,none,0,,0,ST10-004,ST10,0,0,alt,Alt,local-catalog,ST10-004::alt,thumbs/ST10-004alt.webp,,ST10,0,
7285,2348,ST10-007,,Killer,C,,,,,,,,,,none,0,,0,ST10-007,ST10,0,0,base,Base,official-cardlist,ST10-007,ST10/base/ST10-007.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-007.png?260305,ST10,1,
7293,2350,ST10-009,,Jean Bart,C,,,,,,,,,,none,0,,0,ST10-009,ST10,0,0,base,Base,official-cardlist,ST10-009,ST10/base/ST10-009.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-009.png?260305,ST10,1,
7305,2352,ST10-011,,Heat,C,,,,,,,,,,none,0,,0,ST10-011,ST10,0,0,base,Base,official-cardlist,ST10-011,ST10/base/ST10-011.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-011.png?260305,ST10,1,
7307,2353,ST10-012,,Bepo,C,,,,,,,,,,none,0,,0,ST10-012,ST10,0,0,base,Base,official-cardlist,ST10-012,ST10/base/ST10-012.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-012.png?260305,ST10,1,
7315,2355,ST10-014,,Wire,C,,,,,,,,,,none,0,,0,ST10-014,ST10,0,0,base,Base,official-cardlist,ST10-014,ST10/base/ST10-014.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-014.png?260305,ST10,1,
7317,2356,ST10-015,,Gum-Gum Giant Sumo Slap,C,,,,,,,,,,none,0,,0,ST10-015,ST10,0,0,base,Base,official-cardlist,ST10-015,ST10/base/ST10-015.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-015.png?260305,ST10,1,
7319,2357,ST10-016,,Gum-Gum Kong Gatling,C,,,,,,,,,,none,0,,0,ST10-016,ST10,0,0,base,Base,official-cardlist,ST10-016,ST10/base/ST10-016.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-016.png?260305,ST10,1,
7321,2358,ST10-017,,Punk Vise,C,,,,,,,,,,none,0,,0,ST10-017,ST10,0,0,base,Base,official-cardlist,ST10-017,ST10/base/ST10-017.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST10-017.png?260305,ST10,1,
7403,2385,ST13-005,,Emporio.Ivankov,R,,,,,,,,,,none,0,,0,ST13-005,ST13,0,0,base,Base,official-cardlist,ST13-005,ST13/base/ST13-005.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-005.png?260305,ST13,1,
7405,2385,ST13-005,,Emporio.Ivankov,R,,,,,,,,,,none,0,,0,ST13-005,ST13,0,0,alt,Alt,local-catalog,ST13-005::alt,thumbs/ST13-005alt.webp,,ST13,0,
7406,2385,ST13-005,,Emporio.Ivankov,R,,,,,,,,,,none,0,,0,ST13-005,ST13,0,0,parallel_1,Parallel 1,official-cardlist,ST13-005_p1,ST13/parallel/ST13-005_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-005_p1.png?260305,ST13,0,
7407,2386,ST13-006,,Curly.Dadan,C,,,,,,,,,,none,0,,0,ST13-006,ST13,0,0,base,Base,official-cardlist,ST13-006,ST13/base/ST13-006.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-006.png?260305,ST13,1,
7409,2386,ST13-006,,Curly.Dadan,C,,,,,,,,,,none,0,,0,ST13-006,ST13,0,0,alt,Alt,local-catalog,ST13-006::alt,thumbs/ST13-006alt.webp,,ST13,0,
7410,2386,ST13-006,,Curly.Dadan,C,,,,,,,,,,none,0,,0,ST13-006,ST13,0,0,parallel_1,Parallel 1,official-cardlist,ST13-006_p1,ST13/parallel/ST13-006_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-006_p1.png?260305,ST13,0,
7417,2388,ST13-008,,Sabo,SR,,,,,,,,,,none,0,,0,ST13-008,ST13,0,0,base,Base,official-cardlist,ST13-008,ST13/base/ST13-008.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-008.png?260305,ST13,1,
7419,2388,ST13-008,,Sabo,SR,,,,,,,,,,none,0,,0,ST13-008,ST13,0,0,alt,Alt,local-catalog,ST13-008::alt,thumbs/ST13-008alt.webp,,ST13,0,
7420,2388,ST13-008,,Sabo,SR,,,,,,,,,,none,0,,0,ST13-008,ST13,0,0,parallel_1,Parallel 1,official-cardlist,ST13-008_p1,ST13/parallel/ST13-008_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-008_p1.png?260305,ST13,0,
7421,2389,ST13-009,,Shanks,C,,,,,,,,,,none,0,,0,ST13-009,ST13,0,0,base,Base,official-cardlist,ST13-009,ST13/base/ST13-009.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-009.png?260305,ST13,1,
7423,2389,ST13-009,,Shanks,C,,,,,,,,,,none,0,,0,ST13-009,ST13,0,0,alt,Alt,local-catalog,ST13-009::alt,thumbs/ST13-009alt.webp,,ST13,0,
7424,2389,ST13-009,,Shanks,C,,,,,,,,,,none,0,,0,ST13-009,ST13,0,0,parallel_1,Parallel 1,official-cardlist,ST13-009_p1,ST13/parallel/ST13-009_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-009_p1.png?260305,ST13,0,
7443,2393,ST13-013,,Monkey.D.Garp,SR,,,,,,,,,,none,0,,0,ST13-013,ST13,0,0,base,Base,official-cardlist,ST13-013,ST13/base/ST13-013.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-013.png?260305,ST13,1,
7445,2393,ST13-013,,Monkey.D.Garp,SR,,,,,,,,,,none,0,,0,ST13-013,ST13,0,0,alt,Alt,local-catalog,ST13-013::alt,thumbs/ST13-013alt.webp,,ST13,0,
7446,2393,ST13-013,,Monkey.D.Garp,SR,,,,,,,,,,none,0,,0,ST13-013,ST13,0,0,parallel_1,Parallel 1,official-cardlist,ST13-013_p1,ST13/parallel/ST13-013_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-013_p1.png?260305,ST13,0,
7464,2397,ST13-017,,Flame Dragon King,C,,,,,,,,,,none,0,,0,ST13-017,ST13,0,0,base,Base,official-cardlist,ST13-017,ST13/base/ST13-017.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-017.png?260305,ST13,1,
7466,2398,ST13-018,,Gum-Gum Jet Spear,C,,,,,,,,,,none,0,,0,ST13-018,ST13,0,0,base,Base,official-cardlist,ST13-018,ST13/base/ST13-018.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-018.png?260305,ST13,1,
7635,2447,ST21-001,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST21-001,ST21,0,0,base,Base,official-cardlist,ST21-001,ST21/base/ST21-001.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-001.png?260305,ST21,1,
7637,2447,ST21-001,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST21-001,ST21,0,0,alt,Alt,local-catalog,ST21-001::alt,thumbs/ST21-001(Alt).webp,,ST21,0,
7638,2447,ST21-001,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST21-001,ST21,0,0,promo,Baseshoplimitedcollection,local-catalog,ST21-001::baseshoplimitedcollection,thumbs/ST21-001(BaseShopLimitedCollection).webp,,ST21,0,
7639,2447,ST21-001,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST21-001,ST21,0,0,promo,Ltd,local-catalog,ST21-001::ltd,thumbs/ST21-001(LTD).webp,,ST21,0,
7640,2447,ST21-001,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST21-001,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-001_p1,ST21/parallel/ST21-001_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-001_p1.png?260305,ST21,0,
7641,2447,ST21-001,,Monkey.D.Luffy,L,,,,,,,,,,none,0,,0,ST21-001,ST21,0,0,parallel_2,Parallel 2,official-cardlist,ST21-001_p2,_unclassified/parallel/ST21-001_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-001_p2.png?260305,ST21,0,Learn Together Deck Set
7642,2448,ST21-002,,Usopp,C,,,,,,,,,,none,0,,0,ST21-002,ST21,0,0,base,Base,official-cardlist,ST21-002,ST21/base/ST21-002.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-002.png?260305,ST21,1,
7643,2448,ST21-002,,Usopp,C,,,,,,,,,,none,0,,0,ST21-002,ST21,0,0,alt,Alt,local-catalog,ST21-002::alt,thumbs/ST21-002(Alt).webp,,ST21,0,
7644,2448,ST21-002,,Usopp,C,,,,,,,,,,none,0,,0,ST21-002,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-002_p1,ST21/parallel/ST21-002_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-002_p1.png?260305,ST21,0,
7651,2450,ST21-004,,Jewelry Bonney,C,,,,,,,,,,none,0,,0,ST21-004,ST21,0,0,base,Base,official-cardlist,ST21-004,ST21/base/ST21-004.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-004.png?260305,ST21,1,
7652,2450,ST21-004,,Jewelry Bonney,C,,,,,,,,,,none,0,,0,ST21-004,ST21,0,0,alt,Alt,local-catalog,ST21-004::alt,thumbs/ST21-004(Alt).webp,,ST21,0,
7653,2450,ST21-004,,Jewelry Bonney,C,,,,,,,,,,none,0,,0,ST21-004,ST21,0,0,promo,Cn,local-catalog,ST21-004::cn,thumbs/ST21-004(CN).webp,,ST21,0,
7654,2450,ST21-004,,Jewelry Bonney,C,,,,,,,,,,none,0,,0,ST21-004,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-004_p1,ST21/parallel/ST21-004_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-004_p1.png?260305,ST21,0,
7655,2451,ST21-005,,Jinbe,C,,,,,,,,,,none,0,,0,ST21-005,ST21,0,0,base,Base,official-cardlist,ST21-005,ST21/base/ST21-005.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-005.png?260305,ST21,1,
7656,2451,ST21-005,,Jinbe,C,,,,,,,,,,none,0,,0,ST21-005,ST21,0,0,alt,Alt,local-catalog,ST21-005::alt,thumbs/ST21-005(alt).webp,,ST21,0,
7657,2451,ST21-005,,Jinbe,C,,,,,,,,,,none,0,,0,ST21-005,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-005_p1,ST21/parallel/ST21-005_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-005_p1.png?260305,ST21,0,
7658,2452,ST21-006,,Stussy,C,,,,,,,,,,none,0,,0,ST21-006,ST21,0,0,base,Base,official-cardlist,ST21-006,ST21/base/ST21-006.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-006.png?260305,ST21,1,
7659,2452,ST21-006,,Stussy,C,,,,,,,,,,none,0,,0,ST21-006,ST21,0,0,alt,Alt,local-catalog,ST21-006::alt,thumbs/ST21-006(Alt).webp,,ST21,0,
7660,2452,ST21-006,,Stussy,C,,,,,,,,,,none,0,,0,ST21-006,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-006_p1,ST21/parallel/ST21-006_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-006_p1.png?260305,ST21,0,
7661,2453,ST21-007,,Sentomaru,C,,,,,,,,,,none,0,,0,ST21-007,ST21,0,0,base,Base,official-cardlist,ST21-007,ST21/base/ST21-007.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-007.png?260305,ST21,1,
7663,2453,ST21-007,,Sentomaru,C,,,,,,,,,,none,0,,0,ST21-007,ST21,0,0,alt,Alt,local-catalog,ST21-007::alt,thumbs/ST21-007(alt).webp,,ST21,0,
7664,2453,ST21-007,,Sentomaru,C,,,,,,,,,,none,0,,0,ST21-007,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-007_p1,ST21/parallel/ST21-007_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-007_p1.png?260305,ST21,0,
7665,2454,ST21-008,,Tony Tony.Chopper,C,,,,,,,,,,none,0,,0,ST21-008,ST21,0,0,base,Base,official-cardlist,ST21-008,ST21/base/ST21-008.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-008.png?260305,ST21,1,
7667,2454,ST21-008,,Tony Tony.Chopper,C,,,,,,,,,,none,0,,0,ST21-008,ST21,0,0,alt,Alt,local-catalog,ST21-008::alt,thumbs/ST21-008alt.webp,,ST21,0,
7669,2454,ST21-008,,Tony Tony.Chopper,C,,,,,,,,,,none,0,,0,ST21-008,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-008_p1,ST21/parallel/ST21-008_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-008_p1.png?260305,ST21,0,
7670,2455,ST21-009,,Nami,C,,,,,,,,,,none,0,,0,ST21-009,ST21,0,0,base,Base,official-cardlist,ST21-009,ST21/base/ST21-009.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-009.png?260305,ST21,1,
7671,2455,ST21-009,,Nami,C,,,,,,,,,,none,0,,0,ST21-009,ST21,0,0,alt,Alt,local-catalog,ST21-009::alt,thumbs/ST21-009(Alt).webp,,ST21,0,
7672,2455,ST21-009,,Nami,C,,,,,,,,,,none,0,,0,ST21-009,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-009_p1,ST21/parallel/ST21-009_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-009_p1.png?260305,ST21,0,
7673,2456,ST21-010,,Nico Robin,C,,,,,,,,,,none,0,,0,ST21-010,ST21,0,0,base,Base,official-cardlist,ST21-010,ST21/base/ST21-010.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-010.png?260305,ST21,1,
7674,2456,ST21-010,,Nico Robin,C,,,,,,,,,,none,0,,0,ST21-010,ST21,0,0,alt,Alt,local-catalog,ST21-010::alt,thumbs/ST21-010(Alt).webp,,ST21,0,
7675,2456,ST21-010,,Nico Robin,C,,,,,,,,,,none,0,,0,ST21-010,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-010_p1,ST21/parallel/ST21-010_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-010_p1.png?260305,ST21,0,
7676,2457,ST21-011,,Franky,C,,,,,,,,,,none,0,,0,ST21-011,ST21,0,0,base,Base,official-cardlist,ST21-011,ST21/base/ST21-011.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-011.png?260305,ST21,1,
7677,2457,ST21-011,,Franky,C,,,,,,,,,,none,0,,0,ST21-011,ST21,0,0,alt,Alt,local-catalog,ST21-011::alt,thumbs/ST21-011(Alt).webp,,ST21,0,
7678,2457,ST21-011,,Franky,C,,,,,,,,,,none,0,,0,ST21-011,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-011_p1,ST21/parallel/ST21-011_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-011_p1.png?260305,ST21,0,
7679,2458,ST21-012,,Brook,C,,,,,,,,,,none,0,,0,ST21-012,ST21,0,0,base,Base,official-cardlist,ST21-012,ST21/base/ST21-012.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-012.png?260305,ST21,1,
7680,2458,ST21-012,,Brook,C,,,,,,,,,,none,0,,0,ST21-012,ST21,0,0,alt,Alt,local-catalog,ST21-012::alt,thumbs/ST21-012(Alt).webp,,ST21,0,
7681,2458,ST21-012,,Brook,C,,,,,,,,,,none,0,,0,ST21-012,ST21,0,0,parallel_1,Parallel 1,official-cardlist,ST21-012_p1,ST21/parallel/ST21-012_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-012_p1.png?260305,ST21,0,
7682,2459,ST21-013,,Vegapunk,C,,,,,,,,,,none,0,,0,ST21-013,ST21,0,0,base,Base,official-cardlist,ST21-013,ST21/base/ST21-013.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-013.png?260305,ST21,1,
7683,2459,ST21-013,,Vegapunk,C,,,,,,,,,,none,0,,0,ST21-013,ST21,0,0,alt,Alt,local-catalog,ST21-013::alt,thumbs/ST21-013(alt).webp,,ST21,0,
