card_variant_id,card_canonical_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,match_confidence,needs_manual_review,cv_variant_key,cv_variant_label,cv_print_id,cv_image_path
3,EB01-001,Kouzuki Oden,2709,544523,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-001_p1,EB01/parallel/EB01-001_p1.png
11,EB01-003,Kid & Killer,2712,544526,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-003_p1,EB01/parallel/EB01-003_p1.png
12,EB01-003,Kid & Killer,2712,544526,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,EB01-003_p2,_unclassified/parallel/EB01-003_p2.png
13,EB01-003,Kid & Killer,2712,544526,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_3,Parallel 3,EB01-003_p3,ORFC2025V2/parallel/EB01-003_p3.png
14,EB01-003,Kid & Killer,1633,646720,67,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_mismatch_penalty;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,Parallel 4,EB01-003_p4,ORFC2025V2/alt_art/EB01-003_alt.png
16,EB01-003,Kid & Killer,2712,544526,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,SP,EB01-003::sp,thumbs/EB01-003(SP).webp
23,EB01-006,Tony Tony.Chopper,2717,544531,115,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;alt_art_signal;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,EB01-006::alt,thumbs/EB01-006alt.webp
24,EB01-006,Tony Tony.Chopper,2716,544530,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,mr,Manga,EB01-006::manga,thumbs/EB01-006 Manga Rare.webp
25,EB01-006,Tony Tony.Chopper,2716,544530,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-006_p1,EB01/parallel/EB01-006_p1.png
26,EB01-006,Tony Tony.Chopper,2716,544530,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,EB01-006_p2,EB01/parallel/EB01-006_p2.png
27,EB01-006,Tony Tony.Chopper,2716,544530,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_3,Parallel 3,EB01-006_p3,_unclassified/parallel/EB01-006_p3.png
36,EB01-009,Just Shut Up and Come with Us!!!!,4784,655979,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-009_p1,PRB02/parallel/EB01-009_p1.png
37,EB01-009,Just Shut Up and Come with Us!!!!,4784,655979,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,EB01-009_r1,PRB02/reprint/EB01-009_r1.png
46,EB01-012,Cavendish,2724,544538,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-012_p1,EB01/parallel/EB01-012_p1.png
47,EB01-012,Cavendish,2724,544538,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_3,Parallel 3,EB01-012_p3,EB01/parallel/EB01-012_p3.png
52,EB01-013,Kouzuki Hiyori,2726,544540,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-013_p1,EB01/parallel/EB01-013_p1.png
64,EB01-015,Scratchmen Apoo,4706,653917,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_5,Parallel 5,EB01-015_p5,PRB02/parallel/EB01-015_p5.png
66,EB01-015,Scratchmen Apoo,4706,653917,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,EB01-015_r1,PRB02/reprint/EB01-015_r1.png
73,EB01-018,Mountain God,4788,655983,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-018_p1,PRB02/parallel/EB01-018_p1.png
74,EB01-018,Mountain God,4788,655983,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,EB01-018_r1,PRB02/reprint/EB01-018_r1.png
82,EB01-021,Hannyabal,2735,544549,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-021_p1,EB01/parallel/EB01-021_p1.png
87,EB01-022,Inazuma,2737,544551,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-022_p1,EB01/parallel/EB01-022_p1.png
102,EB01-027,Mr.1(Daz.Bonez),2743,544557,97,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;name_token_overlap;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-027_p1,EB01/parallel/EB01-027_p1.png
112,EB01-031,Kalifa,2748,544562,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-031_p1,EB01/parallel/EB01-031_p1.png
120,EB01-034,Ms. Wednesday,2752,544566,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-034_p1,EB01/parallel/EB01-034_p1.png
129,EB01-038,Oh Come My Way,4791,655986,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-038_p1,PRB02/parallel/EB01-038_p1.png
130,EB01-038,Oh Come My Way,4791,655986,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,EB01-038_r1,PRB02/reprint/EB01-038_r1.png
136,EB01-040,Kyros,2759,544573,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-040_p1,EB01/parallel/EB01-040_p1.png
159,EB01-046,Brook,2766,544580,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-046_p1,EB01/parallel/EB01-046_p1.png
166,EB01-048,Laboon,2769,544583,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-048_p1,EB01/parallel/EB01-048_p1.png
167,EB01-048,Laboon,2769,544583,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,EB01-048_p2,_unclassified/parallel/EB01-048_p2.png
172,EB01-049,T-Bone,2771,544585,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-049_p1,EB01/parallel/EB01-049_p1.png
177,EB01-051,Finger Pistol,4796,655991,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-051_p1,PRB02/parallel/EB01-051_p1.png
179,EB01-051,Finger Pistol,4796,655991,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,EB01-051_r1,PRB02/reprint/EB01-051_r1.png
183,EB01-052,Viola,2775,544589,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-052_p1,EB01/parallel/EB01-052_p1.png
193,EB01-056,Charlotte Flampe,2780,544594,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-056_p1,EB01/parallel/EB01-056_p1.png
195,EB01-056,Charlotte Flampe,2780,544594,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,S P,EB01-056::s p,thumbs/EB01-056SP.webp
199,EB01-057,Shirahoshi,2782,544596,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-057_p1,EB01/parallel/EB01-057_p1.png
202,EB01-057,Shirahoshi,2782,544596,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,SP,EB01-057::sp,thumbs/EB01-057(SP).webp
209,EB01-060,Did Someone Say...Kami?,4799,655994,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-060_p1,PRB02/parallel/EB01-060_p1.png
210,EB01-060,Did Someone Say...Kami?,4799,655994,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,EB01-060_r1,PRB02/reprint/EB01-060_r1.png
214,EB01-061,Mr.2.Bon.Kurei(Bentham),2787,544601,97,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;name_token_overlap;source_tcgcsv,low,1,parallel_1,Parallel 1,EB01-061_p1,EB01/parallel/EB01-061_p1.png
