card_variant_id,candidate_market_product_pk,has_price_via_overlay,notes,mpr_market_price,mpr_mid_price,mpr_low_price,mpr_high_price,mpr_direct_low_price,mpr_listed_median_price,captured_at,subtype_name,source_name,mpr_row_id
4,3907,1,at_least_one_price_column_non_null,301.14,825.0,499.99,900.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3735
15,5235,1,at_least_one_price_column_non_null,93.86,98.27,88.0,241.74,,,2026-04-02 03:06:21,Foil,tcgcsv,5093
28,3372,1,at_least_one_price_column_non_null,1704.75,6409.5,3000.0,200000.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3168
31,2719,1,at_least_one_price_column_non_null,0.17,0.2,0.05,5.0,,,2026-04-02 03:06:18,Normal,tcgcsv,2527
48,4786,1,at_least_one_price_column_non_null,1.12,2.25,0.75,18.99,,,2026-04-02 03:06:21,Foil,tcgcsv,4642
55,2728,1,at_least_one_price_column_non_null,0.89,1.0,0.5,50.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2536
56,2728,1,at_least_one_price_column_non_null,0.89,1.0,0.5,50.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2536
59,2729,1,at_least_one_price_column_non_null,1.8,2.24,0.74,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2537
60,2729,1,at_least_one_price_column_non_null,1.8,2.24,0.74,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2537
61,2729,1,at_least_one_price_column_non_null,1.8,2.24,0.74,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2537
62,4198,1,at_least_one_price_column_non_null,0.14,0.25,0.01,10.0,,,2026-04-02 03:06:20,Normal,tcgcsv,4025
63,2729,1,at_least_one_price_column_non_null,1.8,2.24,0.74,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2537
65,2729,1,at_least_one_price_column_non_null,1.8,2.24,0.74,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2537
83,3908,0,no_market_prices_row_for_product_pk,,,,,,,,,,
90,5111,1,at_least_one_price_column_non_null,62.26,69.99,60.92,248.69,,,2026-04-02 03:06:21,Foil,tcgcsv,4969
91,2739,1,at_least_one_price_column_non_null,2.77,4.05,1.41,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2547
92,2739,1,at_least_one_price_column_non_null,2.77,4.05,1.41,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2547
137,3909,1,at_least_one_price_column_non_null,124.57,355.0,295.0,379.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3736
144,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
145,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
146,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
147,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
148,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
149,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
150,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
151,2763,1,at_least_one_price_column_non_null,0.35,0.45,0.2,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2571
160,4793,1,at_least_one_price_column_non_null,0.69,0.99,0.22,72.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4649
168,4795,1,at_least_one_price_column_non_null,0.83,1.0,0.5,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4651
178,2774,1,at_least_one_price_column_non_null,1.12,1.32,0.5,25.0,,,2026-04-02 03:06:18,Foil,tcgcsv,2582
194,3751,1,at_least_one_price_column_non_null,50.6,62.0,49.91,149.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3578
200,4164,1,at_least_one_price_column_non_null,119.59,125.29,99.99,300.0,,,2026-04-02 03:06:20,Foil,tcgcsv,3991
201,4798,1,at_least_one_price_column_non_null,0.48,0.58,0.01,16.29,,,2026-04-02 03:06:21,Foil,tcgcsv,4654
215,4801,1,at_least_one_price_column_non_null,16.56,20.95,15.68,50.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4657
220,3911,1,at_least_one_price_column_non_null,0.65,0.85,0.35,4.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3738
274,3934,1,at_least_one_price_column_non_null,0.42,0.5,0.15,10.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3761
275,3934,1,at_least_one_price_column_non_null,0.42,0.5,0.15,10.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3761
276,3934,1,at_least_one_price_column_non_null,0.42,0.5,0.15,10.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3761
277,3934,1,at_least_one_price_column_non_null,0.42,0.5,0.15,10.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3761
