canonical_code,card_name,rarity,variant_key,variant_label,is_base,tcgplayer_product_id,tcgplayer_market_price
EB01-001,Kouzuki Oden,L,parallel_1,Parallel 1,0,,
EB01-001,Kouzuki Oden,L,parallel_2,Parallel 2,0,,
EB01-001,Kouzuki Oden,L,sp,Base,0,,
EB01-002,Izo,R,base,Base,1,,
EB01-003,Kid & Killer,R,alt,Alt,0,,
EB01-003,Kid & Killer,R,alt,Alt Art 2,0,,
EB01-003,Kid & Killer,R,base,Base,1,,
EB01-003,Kid & Killer,R,parallel_1,Parallel 1,0,,
EB01-003,Kid & Killer,R,parallel_2,Parallel 2,0,,
EB01-003,Kid & Killer,R,parallel_3,Parallel 3,0,,
EB01-003,Kid & Killer,R,parallel_5,Parallel 5,0,,
EB01-003,Kid & Killer,R,sp,Parallel 4,0,,
EB01-003,Kid & Killer,R,sp,SP,0,,
EB01-004,Koza,C,base,Base,1,,
EB01-005,Doma,C,base,Base,1,,
EB01-006,Tony Tony.Chopper,SR,alt,Alt,0,,
EB01-006,Tony Tony.Chopper,SR,base,Base,1,,
EB01-006,Tony Tony.Chopper,SR,mr,Manga,0,,
EB01-006,Tony Tony.Chopper,SR,parallel_1,Parallel 1,0,,
EB01-006,Tony Tony.Chopper,SR,parallel_2,Parallel 2,0,,
EB01-006,Tony Tony.Chopper,SR,parallel_3,Parallel 3,0,,
EB01-006,Tony Tony.Chopper,SR,r1,R1,0,,
EB01-007,Yamato,C,base,Base,1,,
EB01-007,Yamato,C,parallel_1,Parallel 1,0,,
EB01-008,LittleOars Jr.,R,base,Base,1,,
EB01-009,Just Shut Up and Come with Us!!!!,C,base,Base,1,,
EB01-009,Just Shut Up and Come with Us!!!!,C,parallel_1,Parallel 1,0,,
EB01-009,Just Shut Up and Come with Us!!!!,C,r1,R1,0,,
EB01-010,There's No Way You Could Defeat Me!!,R,base,Base,1,,
EB01-011,Mini-Merry,C,base,Base,1,,
EB01-012,Cavendish,SR,alt,Alt,0,,
EB01-012,Cavendish,SR,alt,Alt Art 2,0,,
EB01-012,Cavendish,SR,base,Base,1,,
EB01-012,Cavendish,SR,parallel_1,Parallel 1,0,,
EB01-012,Cavendish,SR,parallel_3,Parallel 3,0,,
EB01-012,Cavendish,SR,r1,R1,0,,
EB01-013,Kouzuki Hiyori,R,alt,Alt,0,,
EB01-013,Kouzuki Hiyori,R,base,Base,1,,
EB01-013,Kouzuki Hiyori,R,parallel_1,Parallel 1,0,,
EB01-014,Sanji,R,alt,Alt,0,,
EB01-014,Sanji,R,base,Base,1,,
EB01-014,Sanji,R,parallel_1,Parallel 1,0,,
EB01-015,Scratchmen Apoo,R,alt,Alt,0,,
EB01-015,Scratchmen Apoo,R,alt,Prb02,0,,
EB01-015,Scratchmen Apoo,R,base,Base,1,,
EB01-015,Scratchmen Apoo,R,parallel_1,Parallel 1,0,,
EB01-015,Scratchmen Apoo,R,parallel_2,Parallel 2,0,,
EB01-015,Scratchmen Apoo,R,parallel_3,Parallel 3,0,,
EB01-015,Scratchmen Apoo,R,parallel_4,Parallel 4,0,,
EB01-015,Scratchmen Apoo,R,parallel_5,Parallel 5,0,,
EB01-015,Scratchmen Apoo,R,r1,R1,0,,
EB01-016,Bingoh,C,base,Base,1,,
EB01-017,Blueno,C,base,Base,1,,
EB01-018,Mountain God,C,base,Base,1,,
EB01-018,Mountain God,C,parallel_1,Parallel 1,0,,
EB01-018,Mountain God,C,r1,R1,0,,
EB01-019,Off-White,R,base,Base,1,,
EB01-020,Chambres,C,base,Base,1,,
EB01-021,Hannyabal,L,alt,Alt,0,,
EB01-021,Hannyabal,L,base,Base,1,,
EB01-021,Hannyabal,L,parallel_1,Parallel 1,0,,
EB01-021,Hannyabal,L,parallel_2,Parallel 2,0,,
EB01-022,Inazuma,SR,alt,Alt,0,,
EB01-022,Inazuma,SR,base,Base,1,,
EB01-022,Inazuma,SR,parallel_1,Parallel 1,0,,
EB01-023,Edward Weevil,R,base,Base,1,,
EB01-023,Edward Weevil,R,parallel_1,Parallel 1,0,,
EB01-023,Edward Weevil,R,parallel_2,Parallel 2,0,,
EB01-023,Edward Weevil,R,sp,SP,0,,
EB01-024,Hamlet,C,base,Base,1,,
EB01-025,Fourtricks,C,base,Base,1,,
EB01-026,Prince Bellett,C,base,Base,1,,
EB01-027,Mr.1(Daz.Bonez),R,alt,Alt,0,,
EB01-027,Mr.1(Daz.Bonez),R,base,Base,1,,
EB01-027,Mr.1(Daz.Bonez),R,parallel_1,Parallel 1,0,,
EB01-028,Gum-Gum Champion Rifle,R,base,Base,1,,
EB01-029,Sorry. I'm a Goner.,C,base,Base,1,,
EB01-030,Loguetown,C,base,Base,1,,
EB01-031,Kalifa,R,alt,Alt,0,,
EB01-031,Kalifa,R,base,Base,1,,
EB01-031,Kalifa,R,parallel_1,Parallel 1,0,,
EB01-032,Army Wolves,C,base,Base,1,,
EB01-033,Blueno,R,base,Base,1,,
