bandai_series_id,product_name,rarities_json,error,scraped_at
569302,"PREMIUM BOOSTER <br class=""spInline"">-ONE PIECE CARD THE BEST vol.2- [PRB-02]","[""C"", ""P"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569301,"PREMIUM BOOSTER <br class=""spInline"">-ONE PIECE CARD THE BEST- [PRB-01]","[""C"", ""L"", ""P"", ""R"", ""SEC"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569203,"EXTRA BOOSTER <br class=""spInline"">-ONE PIECE HEROINES EDITION- [EB-03]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569202,"EXTRA BOOSTER <br class=""spInline"">-Anime 25th Collection- [EB-02]","[""C"", ""L"", ""R"", ""SEC"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569201,"EXTRA BOOSTER <br class=""spInline"">-MEMORIAL COLLECTION- [EB-01]","[""C"", ""L"", ""R"", ""SEC"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569115,"BOOSTER PACK <br class=""spInline"">-ADVENTURE ON KAMI’S ISLAND- <br class=""spInline"">[OP15-EB04]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569114,"BOOSTER PACK <br class=""spInline"">-THE AZURE SEA’S SEVEN- [OP14-EB04]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569113,"BOOSTER PACK <br class=""spInline"">-CARRYING ON HIS WILL- [OP-13]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569112,"BOOSTER PACK <br class=""spInline"">-LEGACY OF THE MASTER- [OP-12]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569111,"BOOSTER PACK <br class=""spInline"">-A FIST OF DIVINE SPEED- [OP-11]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569110,"BOOSTER PACK <br class=""spInline"">-ROYAL BLOOD- [OP-10]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569109,"BOOSTER PACK <br class=""spInline"">-EMPERORS IN THE NEW WORLD- [OP-09]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569108,"BOOSTER PACK <br class=""spInline"">-TWO LEGENDS- [OP-08]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569107,"BOOSTER PACK <br class=""spInline"">-500 YEARS IN THE FUTURE- [OP-07]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569106,"BOOSTER PACK <br class=""spInline"">-WINGS OF THE CAPTAIN- [OP-06]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""TR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569105,"BOOSTER PACK <br class=""spInline"">-AWAKENING OF THE NEW ERA- [OP-05]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569104,"BOOSTER PACK <br class=""spInline"">-KINGDOMS OF INTRIGUE- [OP-04]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569103,"BOOSTER PACK <br class=""spInline"">-PILLARS OF STRENGTH- [OP-03]","[""C"", ""L"", ""R"", ""SEC"", ""SP CARD"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569102,"BOOSTER PACK <br class=""spInline"">-PARAMOUNT WAR- [OP-02]","[""C"", ""L"", ""R"", ""SEC"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569101,"BOOSTER PACK <br class=""spInline"">-ROMANCE DAWN- [OP-01]","[""C"", ""L"", ""R"", ""SEC"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569029,"STARTER DECK <br class=""spInline"">-Egghead- [ST-29]","[""C"", ""L"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569028,"STARTER DECK <br class=""spInline"">-GREEN/YELLOW Yamato- [ST-28]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569027,"STARTER DECK <br class=""spInline"">-BLACK Marshall.D.Teach- [ST-27]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569026,"STARTER DECK <br class=""spInline"">-PURPLE/BLACK Monkey.D.Luffy- [ST-26]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569025,"STARTER DECK <br class=""spInline"">-BLUE Buggy- [ST-25]","[""C"", ""L"", ""P"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569024,"STARTER DECK <br class=""spInline"">-GREEN Jewelry Bonney- [ST-24]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569023,"STARTER DECK <br class=""spInline"">-RED Shanks- [ST-23]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569022,"STARTER DECK <br class=""spInline"">-Ace & Newgate- [ST-22]","[""C"", ""L"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569021,"STARTER DECK EX <br class=""spInline"">-GEAR5- [ST-21]","[""C"", ""L"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569020,"STARTER DECK <br class=""spInline"">-Yellow Charlotte Katakuri- [ST-20]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569019,"STARTER DECK <br class=""spInline"">-Black Smoker- [ST-19]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569018,"STARTER DECK <br class=""spInline"">-Purple Monkey.D.Luffy- [ST-18]","[""C"", ""L"", ""P"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569017,"STARTER DECK <br class=""spInline"">-Blue Donquixote Doflamingo- [ST-17]","[""C"", ""L"", ""P"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569016,"STARTER DECK <br class=""spInline"">-Green Uta- [ST-16]","[""C"", ""L"", ""P"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569015,"STARTER DECK <br class=""spInline"">-Red Edward.Newgate- [ST-15]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569014,"STARTER DECK <br class=""spInline"">-3D2Y- [ST-14]","[""C"", ""L"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569013,"ULTRA DECK <br class=""spInline"">-The Three Brothers- [ST-13]","[""C"", ""L"", ""R"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569012,"STARTER DECK <br class=""spInline"">-Zoro and Sanji- [ST-12]","[""C"", ""L"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569011,"STARTER DECK <br class=""spInline"">-Uta- [ST-11]","[""C"", ""L"", ""R"", ""SR"", ""UC""]",,2026-03-30T18:07:58.591991+00:00
569010,"ULTRA DECK <br class=""spInline"">-The Three Captains- [ST-10]","[""C"", ""L"", ""R"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
569009,"STARTER DECK <br class=""spInline"">-Yamato- [ST-09]","[""C"", ""L"", ""SR""]",,2026-03-30T18:07:58.591991+00:00
