id,card_id,variant_key,variant_label,print_id,release_set_code,release_set_name,image_path,image_url,source,is_base,is_alt,is_sp,has_variant_evidence,is_tr,is_manga_rare,is_golden_manga_rare,is_promo,is_serialized,is_illustration_rare,official_provenance,distribution_product_key,updated_at,tcgplayer_product_id,tcgplayer_market_price,tcgplayer_mid_price,tcgplayer_low_price,tcgplayer_price_updated_at
1,1,sp,Base,EB01-001,ORFC2025V2,Offline Regional Finalist Card Set 2025 Vol.2,ORFC2025V2/sp/EB01-001_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png?260305,image-review-reclassify,0,0,1,1,0,0,0,0,0,0,,ORFC2025V2,2026-03-31T16:12:51.153432+00:00,,,,,
3,1,parallel_1,Parallel 1,EB01-001_p1,EB01,Memorial Collection,EB01/parallel/EB01-001_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T03:46:09Z,,,,,
4,1,parallel_2,Parallel 2,EB01-001_p2,EB02,Anime 25th Collection,EB02/parallel/EB01-001_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p2.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Anime 25th Collection- [EB-02],EB02,2026-03-31T03:46:13Z,,,,,
5,2,base,Base,EB01-002,EB01,Memorial Collection,EB01/base/EB01-002.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-002.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
7,3,base,Base,EB01-003,EB01,Memorial Collection,EB01/sp/EB01-003_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png?260305,official-cardlist,1,0,1,1,0,0,0,0,0,0,,,,,,,,
9,3,alt,Alt,EB01-003::alt,EB01,Memorial Collection,thumbs/EB01-003alt.webp,,local-catalog,0,1,1,1,0,0,0,0,0,0,,,,,,,,
10,3,alt,Alt Art 2,EB01-003::alt art 2,EB01,Memorial Collection,thumbs/EB01-003alt2.webp,,local-catalog,0,1,1,1,0,0,0,0,0,0,,,,,,,,
11,3,parallel_1,Parallel 1,EB01-003_p1,EB01,Memorial Collection,EB01/parallel/EB01-003_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png?260305,official-cardlist,0,0,1,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T03:46:28Z,,,,,
12,3,parallel_2,Parallel 2,EB01-003_p2,EB01,Promotion Card,_unclassified/parallel/EB01-003_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p2.png?260305,official-cardlist,0,0,1,1,0,0,0,0,0,0,Offline Regional Participation Pack 2025 Vol.2,_unclassified,2026-03-31T03:46:32Z,,,,,
13,3,parallel_3,Parallel 3,EB01-003_p3,EB01,Offline Regional Finalist Card Set 2025 Vol.2,ORFC2025V2/parallel/EB01-003_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p3.png?260305,official-cardlist,0,0,1,1,0,0,0,0,0,0,Offline Regional Finalist Card Set 2025 Vol.2,ORFC2025V2,2026-03-31T03:46:37Z,,,,,
14,3,sp,Parallel 4,EB01-003_p4,ORFC2025V2,Offline Regional Finalist Card Set 2025 Vol.2,ORFC2025V2/alt_art/EB01-003_alt.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p4.png?260305,image-review-reclassify,0,1,0,1,0,0,0,0,0,0,Offline Regional Champion Card Set 2025 Vol.2,ORFC2025V2,2026-03-31T16:15:30.544642+00:00,,,,,
15,3,parallel_5,Parallel 5,EB01-003_p5,OP14,The Azure Sea’s Seven,OP14/parallel/EB01-003_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p5.png?260305,official-cardlist,0,0,1,1,0,0,0,0,0,0,-THE AZURE SEA’S SEVEN- [OP14-EB04],OP14,2026-03-31T03:46:45Z,,,,,
16,3,sp,SP,EB01-003::sp,EB01,Memorial Collection,thumbs/EB01-003(SP).webp,,local-catalog,0,0,1,1,0,0,0,0,0,0,,,,,,,,
17,4,base,Base,EB01-004,EB01,Memorial Collection,EB01/base/EB01-004.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-004.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
19,5,base,Base,EB01-005,EB01,Memorial Collection,EB01/base/EB01-005.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-005.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
21,6,base,Base,EB01-006,EB01,Memorial Collection,EB01/base/EB01-006.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
23,6,alt,Alt,EB01-006::alt,EB01,Memorial Collection,thumbs/EB01-006alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
24,6,mr,Manga,EB01-006::manga,EB01,Memorial Collection,thumbs/EB01-006 Manga Rare.webp,,local-catalog,0,0,0,1,0,1,0,0,0,0,,,,,,,,
25,6,parallel_1,Parallel 1,EB01-006_p1,EB01,Memorial Collection,EB01/parallel/EB01-006_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T03:47:06Z,,,,,
