id,canonical_code,set_code,card_number,set_name,card_name,rarity,color,card_type,cost,power,counter,attribute,traits,life,block_icon,effect_text,trigger_text,aliases_json,sources_json,base_card_id,is_variant,variant_category,variant_subtype,stamp_type,stamp_event_name,stamp_placement,distribution_source,distribution_event,is_serialized,serial_number,print_run,is_premium_variant,variant_meta_json
1,EB01-001,EB01,001,Memorial Collection,Kouzuki Oden,L,Red,Leader,4,5000,-,Slash,Land of Wano / Kozuki Family,4,2,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules. [DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,"[""EB01-001"", ""Kouzuki Oden""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-001,0,,,,,,,,0,,,0,{}
2,EB01-002,EB01,002,Memorial Collection,Izo,R,Red,Character,5,7000,-,Ranged,Land of Wano / Whitebeard Pirates,,2,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",,"[""EB01-002"", ""Izo""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-002,0,,,,,,,,0,,,0,{}
3,EB01-003,EB01,003,Memorial Collection,Kid & Killer,R,Red,Character,4,5000,-,Slash/Special,Supernova / Kid Pirates,,2,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,"[""EB01-003"", ""Kid & Killer""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-003,1,premium_rarity,sp,,,,OP14,,0,,,1,{}
4,EB01-004,EB01,004,Memorial Collection,Koza,C,Red,Character,2,3000,1000,Ranged,Alabasta,,2,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.,,"[""EB01-004"", ""Koza""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-004,0,,,,,,,,0,,,0,{}
5,EB01-005,EB01,005,Memorial Collection,Doma,C,Red,Character,1,3000,1000,Slash,Whitebeard Pirates Allies,,2,-,,"[""Doma"", ""EB01-005""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-005,0,,,,,,,,0,,,0,{}
6,EB01-006,EB01,006,Memorial Collection,Tony Tony.Chopper,SR,Red,Character,3,4000,1000,Strike,Animal / Straw Hat Crew,,2,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,"[""EB01-006"", ""Tony Tony.Chopper""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-006,0,,,,,,,,0,,,0,{}
7,EB01-007,EB01,007,Memorial Collection,Yamato,C,Red,Character,5,5000,2000,Strike,Land of Wano,,2,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,,"[""EB01-007"", ""Yamato""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-007,0,,,,,,,,0,,,0,{}
8,EB01-008,EB01,008,Memorial Collection,LittleOars Jr.,R,Red,Character,6,7000,1000,Strike,Giant / Whitebeard Pirates Allies,,2,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead.",,"[""EB01-008"", ""LittleOars Jr.""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-008,0,,,,,,,,0,,,0,{}
9,EB01-009,EB01,009,Memorial Collection,Just Shut Up and Come with Us!!!!,C,Red,Event,1,-,-,-,Drum Kingdom / Straw Hat Crew,,2,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,"[""EB01-009"", ""Just Shut Up and Come with Us!!!!""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-009,0,,,,,,,,0,,,0,{}
10,EB01-010,EB01,010,Memorial Collection,There's No Way You Could Defeat Me!!,R,Red,Event,3,-,-,-,Water 7 / Straw Hat Crew,,2,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less.,[Trigger] K.O. up to 1 of your opponent's Characters with 5000 base power or less.,"[""EB01-010"", ""There's No Way You Could Defeat Me!!""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-010,0,,,,,,,,0,,,0,{}
