id,source_name,market_product_id,market_group_id,market_category_id,product_name,clean_product_name,market_variant_label,market_set_name,market_set_code,market_number,rarity_market,subtype_support,active,url,image_url,raw_payload_json,created_at,updated_at
309,tcgcsv,453505,3188,68,Trafalgar Law (002),Trafalgar Law 002,,,OP01,OP01-002,L,0,1,https://www.tcgplayer.com/product/453505/one-piece-card-game-romance-dawn-trafalgar-law-002,,,2026-04-01 22:09:08,2026-04-01 22:09:08
310,tcgcsv,453506,3188,68,Monkey.D.Luffy (003) (Parallel),MonkeyDLuffy 003 Parallel,Parallel,,OP01,OP01-003,L,0,1,https://www.tcgplayer.com/product/453506/one-piece-card-game-romance-dawn-monkeydluffy-003-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
311,tcgcsv,453507,3188,68,Cavendish (Box Topper),Cavendish Box Topper,Box Topper,,OP01,OP01-008,C,0,1,https://www.tcgplayer.com/product/453507/one-piece-card-game-romance-dawn-cavendish-box-topper,,,2026-04-01 22:09:08,2026-04-01 22:09:08
312,tcgcsv,453508,3188,68,Monkey.D.Luffy (024),MonkeyDLuffy 024,,,OP01,OP01-024,SR,0,1,https://www.tcgplayer.com/product/453508/one-piece-card-game-romance-dawn-monkeydluffy-024,,,2026-04-01 22:09:08,2026-04-01 22:09:08
313,tcgcsv,453509,3188,68,Monkey.D.Luffy (024) (Parallel),MonkeyDLuffy 024 Parallel,Parallel,,OP01,OP01-024,SR,0,1,https://www.tcgplayer.com/product/453509/one-piece-card-game-romance-dawn-monkeydluffy-024-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
314,tcgcsv,453510,3188,68,Roronoa Zoro (025),Roronoa Zoro 025,,,OP01,OP01-025,SR,0,1,https://www.tcgplayer.com/product/453510/one-piece-card-game-romance-dawn-roronoa-zoro-025,,,2026-04-01 22:09:08,2026-04-01 22:09:08
315,tcgcsv,453511,3188,68,Roronoa Zoro (025) (Parallel),Roronoa Zoro 025 Parallel,Parallel,,OP01,OP01-025,SR,0,1,https://www.tcgplayer.com/product/453511/one-piece-card-game-romance-dawn-roronoa-zoro-025-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
316,tcgcsv,453512,3188,68,In Two Years!! At the Sabaody Archipelago!!,In Two Years At the Sabaody Archipelago,,,OP01,OP01-030,UC,0,1,https://www.tcgplayer.com/product/453512/one-piece-card-game-romance-dawn-in-two-years-at-the-sabaody-archipelago,,,2026-04-01 22:09:08,2026-04-01 22:09:08
317,tcgcsv,453513,3188,68,Inuarashi (Box Topper),Inuarashi Box Topper,Box Topper,,OP01,OP01-034,C,0,1,https://www.tcgplayer.com/product/453513/one-piece-card-game-romance-dawn-inuarashi-box-topper,,,2026-04-01 22:09:08,2026-04-01 22:09:08
318,tcgcsv,453514,3188,68,Kin'emon,Kinemon,,,OP01,OP01-040,SR,0,1,https://www.tcgplayer.com/product/453514/one-piece-card-game-romance-dawn-kinemon,,,2026-04-01 22:09:08,2026-04-01 22:09:08
319,tcgcsv,453515,3188,68,Trafalgar Law (047) (Parallel),Trafalgar Law 047 Parallel,Parallel,,OP01,OP01-047,SR,0,1,https://www.tcgplayer.com/product/453515/one-piece-card-game-romance-dawn-trafalgar-law-047-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
