id,variant_card_code,base_card_code,variant_category,variant_subtype,detection_signals_json,source,confidence,is_active,verified_at,verified_by,notes,image_fingerprint_ref,layout_template_ref,created_at,updated_at
1,OP08-052,OP08-052,premium_rarity,treasure_rare,"{""has_tr_text"": true, ""filename_markers"": [""TR""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,,,,2026-03-25 20:39:53,2026-03-25 20:39:53
2,OP09-015,OP09-015,premium_rarity,treasure_rare,"{""has_tr_text"": true, ""filename_markers"": [""TR""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,,,,2026-03-25 20:39:53,2026-03-25 20:39:53
3,OP10-063,OP10-063,premium_rarity,treasure_rare,"{""has_tr_text"": true, ""filename_markers"": [""TR""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,,,,2026-03-25 20:39:53,2026-03-25 20:39:53
4,OP11-058,OP11-058,premium_rarity,treasure_rare,"{""has_tr_text"": true, ""filename_markers"": [""TR""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,Official TR snippet not yet captured cleanly. Same-code assumption pending cleaner official confirmation.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
5,OP12-108,OP12-108,premium_rarity,treasure_rare,"{""has_tr_text"": true, ""filename_markers"": [""TR""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,,,,2026-03-25 20:39:53,2026-03-25 20:39:53
6,ST01-007,ST01-007,premium_rarity,treasure_rare,"{""has_tr_text"": true, ""filename_markers"": [""TR""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,,,,2026-03-25 20:39:53,2026-03-25 20:39:53
7,OP03-008,OP03-008,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
8,OP03-114,OP03-114,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
9,OP04-024,OP04-024,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
10,OP04-064,OP04-064,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
11,OP05-051,OP05-051,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
12,OP05-091,OP05-091,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
13,OP06-050,OP06-050,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
14,OP06-093,OP06-093,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
15,OP06-119,OP06-119,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
16,OP07-046,OP07-046,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
