id,printing_id,market_product_id,mapping_confidence,mapping_method,mapping_notes,is_preferred,created_at,updated_at
176,1331,467,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
177,1187,468,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
178,1174,469,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
179,1197,470,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
180,1185,471,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
181,1314,472,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
182,1207,473,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
183,1181,474,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
184,1203,475,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
185,1205,476,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
186,1579,477,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
187,1215,478,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
188,1219,479,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
189,1217,480,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
190,1211,481,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
191,1579,482,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
192,1174,483,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
193,1181,484,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
194,1279,485,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
195,1275,486,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
196,1352,487,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
197,1416,488,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
198,1420,489,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
199,1477,490,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
200,1291,491,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
201,1560,492,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
202,1553,493,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
203,1486,494,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
204,1221,495,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
205,1295,496,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
206,1381,497,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
207,1391,498,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
208,1420,499,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
209,1456,500,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
210,1498,501,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
211,1517,502,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
212,1517,503,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
213,1535,504,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
214,1553,505,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
215,1498,506,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
216,1585,507,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
217,1585,508,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
218,1424,509,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
219,1450,510,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
220,1358,511,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
221,1377,512,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
222,1391,513,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
223,1187,514,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
224,1221,515,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
225,1248,516,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
226,1244,517,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
227,1211,518,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
228,1221,519,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
229,1232,520,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
230,1234,521,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
231,1242,522,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
232,1244,523,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
233,1248,524,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
234,1260,525,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
235,1263,526,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
236,1265,527,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
237,1267,528,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
238,1270,529,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
239,1273,530,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
240,1275,531,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
241,1279,532,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
242,1283,533,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
243,1285,534,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
244,1288,535,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
245,1291,536,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
246,1295,537,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
247,1299,538,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
248,1301,539,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
249,1304,540,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
250,1309,541,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
251,1314,542,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
252,1320,543,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
253,1323,544,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
254,1325,545,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
255,1328,546,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
256,1331,547,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
257,1336,548,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
258,1338,549,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
259,1341,550,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
260,1343,551,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
261,1346,552,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
262,1348,553,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
263,1350,554,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
264,1352,555,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
265,1356,556,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
266,1358,557,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
267,1362,558,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
268,1364,559,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
269,1367,560,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
270,1370,561,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
271,1372,562,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
272,1374,563,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
273,1377,564,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
274,1381,565,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
275,1387,566,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
276,1389,567,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
277,1395,568,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
278,1399,569,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
