id,set_code,set_name,series_code_display,series_id,sources_json
1,EB01,Memorial Collection,EB-01,569201,"[""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev"", ""local-catalog"", ""official-restriction-notices"", ""optcg-api""]"
2,EB02,Anime 25th Collection,EB-02,569202,"[""official-cardlist""]"
3,EB03,One Piece Heroines Edition,EB-03,569203,"[""official-cardlist""]"
4,EB04,-THE AZURE SEA’S SEVEN- [OP14-EB04],OP14-EB04,569114,"[""official-cardlist"", ""local-corroboration""]"
5,OP01,Romance Dawn,OP-01,569101,"[""official-cardlist"", ""local-corroboration"", ""community-cardlist"", ""onepiece-cardgame-dev"", ""optcg-api""]"
6,OP02,Paramount War,OP-02,569102,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration"", ""optcg-api"", ""official-restriction-notices""]"
7,OP03,Pillars Of Strength,OP-03,569103,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration"", ""optcg-api"", ""official-restriction-notices""]"
8,OP04,Kingdoms Of Intrigue,OP-04,569104,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
9,OP05,Awakening Of The New Era,OP-05,569105,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration"", ""optcg-api""]"
10,OP06,Wings Of The Captain,OP-06,569106,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration"", ""optcg-api"", ""official-restriction-notices""]"
11,OP07,500 Years In The Future,OP-07,569107,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration"", ""official-errata-cards"", ""official-rules-faq""]"
12,OP08,Two Legends,OP-08,569108,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration"", ""official-restriction-notices""]"
13,OP09,Emperors In The New World,OP-09,569109,"[""official-cardlist""]"
14,OP10,Royal Blood,OP-10,569110,"[""official-cardlist""]"
15,OP11,A Fist Of Divine Speed,OP-11,569111,"[""official-cardlist""]"
16,OP12,Legacy Of The Master,OP-12,569112,"[""official-cardlist""]"
17,OP13,Carrying On His Will,OP-13,569113,"[""official-cardlist""]"
18,OP14,The Azure Sea’s Seven,OP14-EB04,569114,"[""official-cardlist""]"
19,PRB01,One Piece Card The Best,PRB-01,569301,"[""official-cardlist""]"
20,PRB02,One Piece Card The Best Vol.2,PRB-02,569302,"[""official-cardlist""]"
21,ST01,Straw Hat Crew,ST-01,569001,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
22,ST02,Worst Generation,ST-02,569002,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
23,ST03,The Seven Warlords Of The Sea,ST-03,569003,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
24,ST04,Animal Kingdom Pirates,ST-04,569004,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
25,ST05,One Piece Film Edition,ST-05,569005,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
26,ST06,Absolute Justice,ST-06,569006,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
27,ST07,Big Mom Pirates,ST-07,569007,"[""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]"
