id,product_id,group_id,name,clean_name,card_code,parsed_variant_key,card_variant_id,market_price,mid_price,low_price,price_updated_at,created_at,updated_at
155,453505,3188,Trafalgar Law (002),Trafalgar Law 002,OP01-002,base,,1.13,1.18,0.28,2026-04-01T20:09:44.670295+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.670295+00:00
156,453506,3188,Monkey.D.Luffy (003) (Parallel),MonkeyDLuffy 003 Parallel,OP01-003,parallel_1,717,847.45,1100.0,823.99,2026-04-01T20:09:44.672274+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.672274+00:00
157,453507,3188,Cavendish (Box Topper),Cavendish Box Topper,OP01-008,promo,,2.59,4.12,2.19,2026-04-01T20:09:44.672596+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.672596+00:00
158,453508,3188,Monkey.D.Luffy (024),MonkeyDLuffy 024,OP01-024,base,,2.17,3.0,1.0,2026-04-01T20:09:44.673339+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.673339+00:00
159,453509,3188,Monkey.D.Luffy (024) (Parallel),MonkeyDLuffy 024 Parallel,OP01-024,parallel_1,830,138.63,144.95,107.0,2026-04-01T20:09:44.674962+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.674962+00:00
160,453510,3188,Roronoa Zoro (025),Roronoa Zoro 025,OP01-025,base,,6.03,6.99,4.49,2026-04-01T20:09:44.675632+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.675632+00:00
161,453511,3188,Roronoa Zoro (025) (Parallel),Roronoa Zoro 025 Parallel,OP01-025,parallel_3,842,171.73,168.25,135.95,2026-04-01T20:09:44.676563+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.676563+00:00
162,453512,3188,In Two Years!! At the Sabaody Archipelago!!,In Two Years At the Sabaody Archipelago,OP01-030,base,,1.58,1.99,0.2,2026-04-01T20:09:44.677315+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.677315+00:00
163,453513,3188,Inuarashi (Box Topper),Inuarashi Box Topper,OP01-034,promo,,2.17,3.89,1.5,2026-04-01T20:09:44.677605+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.677605+00:00
164,453514,3188,Kin'emon,Kinemon,OP01-040,base,,0.66,0.99,0.15,2026-04-01T20:09:44.678612+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.678612+00:00
165,453515,3188,Trafalgar Law (047) (Parallel),Trafalgar Law 047 Parallel,OP01-047,parallel_1,928,43.64,45.02,34.38,2026-04-01T20:09:44.680295+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.680295+00:00
166,453516,3188,Nekomamushi (Box Topper),Nekomamushi Box Topper,OP01-048,promo,,4.87,5.0,3.94,2026-04-01T20:09:44.680589+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.680589+00:00
167,453517,3188,Kaido (061),Kaido 061,OP01-061,base,,0.32,0.35,0.22,2026-04-01T20:09:44.681237+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.681237+00:00
168,453518,3188,Alvida (Box Topper),Alvida Box Topper,OP01-064,promo,,6.74,11.5,4.6,2026-04-01T20:09:44.681507+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.681507+00:00
169,453519,3188,Crocodile (067),Crocodile 067,OP01-067,base,,0.83,0.99,0.25,2026-04-01T20:09:44.682145+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.682145+00:00
170,453520,3188,Perona (Box Topper),Perona Box Topper,OP01-077,promo,,19.08,30.9,16.0,2026-04-01T20:09:44.682409+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.682409+00:00
171,453521,3188,Kaido (094),Kaido 094,OP01-094,base,,3.95,5.0,2.49,2026-04-01T20:09:44.683081+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.683081+00:00
172,453522,3188,Who's.Who (Box Topper),WhosWho Box Topper,OP01-109,promo,,2.16,3.7,1.55,2026-04-01T20:09:44.683351+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.683351+00:00
173,454512,3188,Roronoa Zoro (001),Roronoa Zoro 001,OP01-001,base,,2.02,2.5,1.0,2026-04-01T20:09:44.683980+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.683980+00:00
174,454513,3188,Roronoa Zoro (001) (Parallel),Roronoa Zoro 001 Parallel,OP01-001,parallel_2,709,564.49,571.83,460.0,2026-04-01T20:09:44.684942+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.684942+00:00
