table_name,row_count
bandai_cardlist_scrape,51
card_intelligence,2497
card_relationships,61679
card_roles,3466
card_variants,5413
cards,2497
image_assets,0
image_variant_analysis,1951
market_prices,5163
market_products,5301
miru_action_history,70
miru_card_insights,242
miru_card_legality,3
miru_card_usage,0
miru_deck_archetypes,0
miru_meta_events,0
miru_perception_ledger,0
miru_perception_ledger_fields,0
miru_perception_ledger_recurrence,0
miru_perception_ledger_summary,0
miru_publication_batch_items,4
miru_publication_batches,2
miru_publication_stage,3
miru_review_queue,172
miru_sync_metadata,8
miru_validations,1336
miru_variant_index,51
official_legality_history,7
official_rule_notices,1
official_source_refs,0
printing_market_map,4581
sets,51
tcgplayer_products,154
