cards_table_id,card_canonical_code,card_name,card_rarity,card_source,cv_card_variant_id,cv_card_variants_card_id,cv_print_id,cv_tcgplayer_product_id,cv_variant,cv_variant_label,cv_variant_source,cv_image_path,cv_image_url,printing_market_map_id,printing_id,printing_market_map_market_product_internal_fk,pmm_mapping_confidence,pmm_mapping_method,mp_market_products_internal_id,mp_market_product_id,mp_product_name,mp_clean_name,mp_ext_number,mp_rarity_market,mp_subtype,mp_market_product_source,mpr_market_prices_id,market_product_fk,mpr_low_price,mpr_mid_price,mpr_high_price,mpr_market_price,mpr_direct_low_price,mpr_listed_median_price,mpr_captured_at,mpr_mpr_source_name,print_id_trim,has_printing_market_map,has_market_product_via_map,has_market_price_via_chain,has_tcgplayer_column_price,has_variant_image_fields,has_image_assets_row,failure_stage
1,EB01-001,Kouzuki Oden,L,,1,1,EB01-001,,sp,Base,image-review-reclassify,ORFC2025V2/sp/EB01-001_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png?260305,2167,1,2709,MEDIUM,exact_code_set_fallback,2709,544523,Kouzuki Oden,Kouzuki Oden,EB01-001,L,,tcgcsv,2517,2709,0.1,0.24,5.0,0.22,,,2026-04-02 03:06:18,tcgcsv,EB01-001,1,1,1,0,1,0,missing_tcgplayer_product_id_only
1,EB01-001,Kouzuki Oden,L,,3,1,EB01-001_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-001_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-001_p1,0,0,0,0,1,0,missing_printing_market_map
1,EB01-001,Kouzuki Oden,L,,4,1,EB01-001_p2,,parallel_2,Parallel 2,official-cardlist,EB02/parallel/EB01-001_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-001_p2,0,0,0,0,1,0,missing_printing_market_map
2,EB01-002,Izo,R,,5,2,EB01-002,,base,Base,official-cardlist,EB01/base/EB01-002.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-002.png?260305,2169,5,2711,HIGH,exact_code_plus_base_flag,2711,544525,Izo,Izo,EB01-002,R,,tcgcsv,2519,2711,0.25,0.99,25.0,0.83,,,2026-04-02 03:06:18,tcgcsv,EB01-002,1,1,1,0,1,0,missing_tcgplayer_product_id_only
3,EB01-003,Kid & Killer,R,OP14,7,3,EB01-003,,base,Base,official-cardlist,EB01/sp/EB01-003_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png?260305,1191,7,1633,HIGH,exact_code_plus_base_flag,1633,646720,Kid & Killer (Offline Regional Champion Card Set 2025 Vol.2),Kid and Killer Offline Regional Champion Card Set 2025 Vol2,EB01-003,R,,tcgcsv,,,,,,,,,,,EB01-003,1,1,1,0,1,0,missing_tcgplayer_product_id_only
3,EB01-003,Kid & Killer,R,OP14,9,3,EB01-003::alt,,alt,Alt,local-catalog,thumbs/EB01-003alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-003::alt,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,10,3,EB01-003::alt art 2,,alt,Alt Art 2,local-catalog,thumbs/EB01-003alt2.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-003::alt art 2,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,11,3,EB01-003_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-003_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p1,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,12,3,EB01-003_p2,,parallel_2,Parallel 2,official-cardlist,_unclassified/parallel/EB01-003_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p2,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,13,3,EB01-003_p3,,parallel_3,Parallel 3,official-cardlist,ORFC2025V2/parallel/EB01-003_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p3.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p3,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,14,3,EB01-003_p4,,sp,Parallel 4,image-review-reclassify,ORFC2025V2/alt_art/EB01-003_alt.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p4.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p4,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,15,3,EB01-003_p5,,parallel_5,Parallel 5,official-cardlist,OP14/parallel/EB01-003_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p5.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p5,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,16,3,EB01-003::sp,,sp,SP,local-catalog,thumbs/EB01-003(SP).webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-003::sp,0,0,0,0,1,0,missing_printing_market_map
4,EB01-004,Koza,C,,17,4,EB01-004,,base,Base,official-cardlist,EB01/base/EB01-004.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-004.png?260305,2172,17,2714,HIGH,exact_code_plus_base_flag,2714,544528,Koza,Koza,EB01-004,C,,tcgcsv,2522,2714,0.01,0.15,1.58,0.08,,,2026-04-02 03:06:18,tcgcsv,EB01-004,1,1,1,0,1,0,missing_tcgplayer_product_id_only
