card_id,card_canonical_code,card_name,card_rarity,card_source,cv_card_variant_id,cv_card_variants_card_id,cv_print_id,cv_tcgplayer_product_id,cv_variant,cv_variant_label,cv_variant_source,cv_image_path,cv_image_url,printing_market_map_id,printing_id,printing_market_map_market_product_internal_fk,pmm_mapping_confidence,pmm_mapping_method,mp_market_products_internal_id,mp_market_product_id,mp_product_name,mp_clean_name,mp_ext_number,mp_rarity_market,mp_subtype,mp_market_product_source,mpr_market_prices_id,market_product_fk,mpr_low_price,mpr_mid_price,mpr_high_price,mpr_market_price,mpr_direct_low_price,mpr_listed_median_price,mpr_captured_at,mpr_mpr_source_name,print_id_trim,has_printing_market_map,has_market_product_via_map,has_market_price_via_chain,has_tcgplayer_column_price,has_variant_image_fields,has_image_assets_row,failure_stage
1,EB01-001,Kouzuki Oden,L,,3,1,EB01-001_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-001_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-001_p1,0,0,0,0,1,0,missing_printing_market_map
1,EB01-001,Kouzuki Oden,L,,4,1,EB01-001_p2,,parallel_2,Parallel 2,official-cardlist,EB02/parallel/EB01-001_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-001_p2,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,9,3,EB01-003::alt,,alt,Alt,local-catalog,thumbs/EB01-003alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-003::alt,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,10,3,EB01-003::alt art 2,,alt,Alt Art 2,local-catalog,thumbs/EB01-003alt2.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-003::alt art 2,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,11,3,EB01-003_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-003_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p1,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,12,3,EB01-003_p2,,parallel_2,Parallel 2,official-cardlist,_unclassified/parallel/EB01-003_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p2,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,13,3,EB01-003_p3,,parallel_3,Parallel 3,official-cardlist,ORFC2025V2/parallel/EB01-003_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p3.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p3,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,14,3,EB01-003_p4,,sp,Parallel 4,image-review-reclassify,ORFC2025V2/alt_art/EB01-003_alt.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p4.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p4,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,15,3,EB01-003_p5,,parallel_5,Parallel 5,official-cardlist,OP14/parallel/EB01-003_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p5.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-003_p5,0,0,0,0,1,0,missing_printing_market_map
3,EB01-003,Kid & Killer,R,OP14,16,3,EB01-003::sp,,sp,SP,local-catalog,thumbs/EB01-003(SP).webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-003::sp,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,23,6,EB01-006::alt,,alt,Alt,local-catalog,thumbs/EB01-006alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-006::alt,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,24,6,EB01-006::manga,,mr,Manga,local-catalog,thumbs/EB01-006 Manga Rare.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-006::manga,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,25,6,EB01-006_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-006_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-006_p1,0,0,0,0,1,0,missing_printing_market_map
