planning_classification,provenance_folder,card_code,card_image_id,treatment_suffix,derived_local_filename,derived_local_subfolder,derived_full_local_path,official_source_url,mirror_fallback_source,mirror_fallback_url,mirror_fallback_limitation,acquisition_wave,batch_group,held_skip_reason,fail_closed_note,local_file_present
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-006,OP01-006_p3,_p3,OP01-006_p3.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-006_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-006_p3.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-006,OP01-006_p5,_p5,OP01-006_p5.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-006_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-006_p5.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-006,OP01-006_p4,_p4,OP01-006_p4.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-006_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-006_p4.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,OP01,OP01-008,OP01-008_p1,_p1,OP01-008_p1.png,parallel,D:\Miru_Assets\OP01\parallel\OP01-008_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-008_p1.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-008.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP01-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,OP05,OP01-016,OP01-016_p2,_p2,OP01-016_p2.png,parallel,D:\Miru_Assets\OP05\parallel\OP01-016_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-016_p2.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-016.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP05-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-016,OP01-016_p8,_p8,OP01-016_p8.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-016_p8.png,https://optcgapi.com/media/static/Card_Images/OP01-016_p8.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-016.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-024,OP01-024_p3,_p3,OP01-024_p3.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-024_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-024_p3.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-029,OP01-029_p2,_p2,OP01-029_p2.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-029_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-029_p2.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-029,OP01-029_p3,_p3,OP01-029_p3.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-029_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-029_p3.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-033,OP01-033_p3,_p3,OP01-033_p3.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-033_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-033_p3.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-033,OP01-033_p5,_p5,OP01-033_p5.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-033_p5_8AI2ZwU.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-033,OP01-033_p5,_p5,OP01-033_p5.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-033_p5.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-033.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,OP01,OP01-034,OP01-034_p1,_p1,OP01-034_p1.png,parallel,D:\Miru_Assets\OP01\parallel\OP01-034_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-034_p1.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-034.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP01-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,OP07,OP01-035,OP01-035_p2,_p2,OP01-035_p2.png,parallel,D:\Miru_Assets\OP07\parallel\OP01-035_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-035_p2.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-035.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP07-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,PRB02,OP01-039,OP01-039_p1,_p1,OP01-039_p1.png,parallel,D:\Miru_Assets\PRB02\parallel\OP01-039_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-039_p1.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-039.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,PRB02-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-041,OP01-041_p7,_p7,OP01-041_p7.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-041_p7.png,https://optcgapi.com/media/static/Card_Images/OP01-041_p7.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-041,OP01-041_p5,_p5,OP01-041_p5.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-041_p5_BTppBsS.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-041,OP01-041_p5,_p5,OP01-041_p5.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-041_p5.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-041.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,OP04,OP01-047,OP01-047_p2,_p2,OP01-047_p2.png,parallel,D:\Miru_Assets\OP04\parallel\OP01-047_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-047_p2.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-047.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP04-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-047,OP01-047_p4,_p4,OP01-047_p4.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-047_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-047_p4.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-047.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,OP01,OP01-048,OP01-048_p1,_p1,OP01-048_p1.png,parallel,D:\Miru_Assets\OP01\parallel\OP01-048_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-048_p1.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-048.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP01-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,OP03,OP01-051,OP01-051_p2,_p2,OP01-051_p2.png,parallel,D:\Miru_Assets\OP03\parallel\OP01-051_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-051_p2.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-051.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,OP03-WAVE2,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-051,OP01-051_p4,_p4,OP01-051_p4.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-051_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-051_p4.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-051.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-052,OP01-052_p4,_p4,OP01-052_p4.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-052_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-052_p4.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-052.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB01,OP01-052,OP01-052_p3,_p3,OP01-052_p3.png,parallel,D:\Miru_Assets\PRB01\parallel\OP01-052_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-052_p3.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-052.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,1,PRB01-WAVE1,,,False
FETCH_OR_MIRROR_NEEDED,PRB02,OP01-055,OP01-055_p1,_p1,OP01-055_p1.png,parallel,D:\Miru_Assets\PRB02\parallel\OP01-055_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-055_p1.jpg,BANDAI_BASE_CDN_HINT,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-055.png,Base-code only; not suffix-aware; may not represent distributed print provenance or parallel treatments,2,PRB02-WAVE2,,,False
