printing_id,card_code,variant_key,current_path,refreshed_path,old_byte_size,new_byte_size,old_dimensions,new_dimensions,refresh_status,source_used,notes
706,OP01-001::25th,promo,OP01\ALTS\OP01-001(25th).png,P/base/OP01-001.png,13686306,153213,3357x4692,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (3357x4692, 13686306b) already better than fetched (600x838, 153213b)"
707,OP01-001::alt,alt,OP01\ALTS\OP01-001(alt).jpg,,665107,0,1200x1676,,SKIPPED_BORDERLINE,,BORDERLINE at 1200x1676 via alts_highres. No better source available.
708,OP01-001_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
709,OP01-001_p2,parallel_2,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
712,OP01-002::alt,alt,OP01\ALTS\OP01-002(alt).png,,10705249,0,3357x4692,,SKIPPED_GOOD_ENOUGH,,Already 3357x4692 (10705249b) via alts_highres
713,OP01-002_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
716,OP01-003::alt,alt,OP01\ALTS\OP01-003(alt).png,,10982660,0,3357x4692,,SKIPPED_GOOD_ENOUGH,,Already 3357x4692 (10982660b) via alts_highres
717,OP01-003_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
720,OP01-004::1st anniversary alt,promo,OP01\ALTS\OP01-004(1st anniversary alt).jpg,P/base/OP01-004.png,2968166,127601,1876x2619,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (1876x2619, 2968166b) already better than fetched (600x838, 127601b)"
721,OP01-004::alt,alt,OP01\ALTS\OP01-004(alt).png,,13464885,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (13464885b) via alts_highres
722,OP01-004_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
725,OP01-005::alt,alt,OP01\ALTS\OP01-005(alt2).png,,7396754,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (7396754b) via alts_highres
726,OP01-005::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
727,OP01-005::film,promo,OP01\ALTS\OP01-005_Film.png,P/base/OP01-005.png,10277559,190160,3358x4692,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (3358x4692, 10277559b) already better than fetched (600x838, 190160b)"
728,OP01-005::film2,promo,OP01\ALTS\OP01-005_Film2.jpg,P/base/OP01-005.png,607610,190160,600x838,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (600x838, 607610b) already better than fetched (600x838, 190160b)"
729,OP01-005_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
730,OP01-005_p2,parallel_2,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
733,OP01-006::alt,alt,OP01\ALTS\OP01-006(alt).png,,13544645,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (13544645b) via alts_highres
734,OP01-006::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
739,OP01-006::prb01alt1,alt,PRB01\Alts\OP01-006(PRB01alt1).jpg,,5683577,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5683577b) via alts_highres
740,OP01-006::prb01alt2,alt,PRB01\Alts\OP01-006(PRB01alt2).jpg,,4842317,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (4842317b) via alts_highres
735,OP01-006_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
736,OP01-006_p3,parallel_3,PRB01\parallel\OP01-006_p3.png,PRB01/parallel/OP01-006_p3.png,212357,212357,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
737,OP01-006_p4,parallel_4,PRB01\parallel\OP01-006_p4.png,PRB01/parallel/OP01-006_p4.png,204313,204313,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
738,OP01-006_p5,parallel_5,PRB01\parallel\OP01-006_p5.png,PRB01/parallel/OP01-006_p5.png,178618,178618,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
741,OP01-006_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
746,OP01-008::alt,alt,OP01\ALTS\OP01-008(alt).png,,252837,0,600x838,,SKIPPED_LOW_RES,,LOW_RES at 600x838 via alts_highres. No better source available.
747,OP01-008_p1,parallel_1,OP01\parallel\OP01-008_p1.png,OP01/parallel/OP01-008_p1.png,211285,211285,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
758,OP01-013::1st anniversary alt,promo,OP01\ALTS\OP01-013(1st anniversary alt).jpg,P/base/OP01-013.png,866154,136259,600x838,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (600x838, 866154b) already better than fetched (600x838, 136259b)"
759,OP01-013::25th,promo,OP01\ALTS\OP01-013(25th).png,P/base/OP01-013.png,10834646,136259,3358x4692,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (3358x4692, 10834646b) already better than fetched (600x838, 136259b)"
760,OP01-013::alt,alt,OP01\ALTS\OP01-013(alt).png,,11775978,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (11775978b) via alts_highres
761,OP01-013::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
762,OP01-013::alt art 3,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
767,OP01-013::tr alt,tr,OP01\ALTS\OP01-013(TR-alt).jpg,,5342438,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5342438b) via alts_highres
763,OP01-013_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
764,OP01-013_p2,parallel_2,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
765,OP01-013_p3,parallel_3,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
766,OP01-013_p4,parallel_4,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
