card_code,printing_id,mistaken_f_path,corrected_d_path,correction_action,quality_status,notes
OP01-001::25th,706,F:/OPTCG_Images/P/base/OP01-001.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-004::1st anniversary alt,720,F:/OPTCG_Images/P/base/OP01-004.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-005::film,727,F:/OPTCG_Images/P/base/OP01-005.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-005::film2,728,F:/OPTCG_Images/P/base/OP01-005.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of film
OP01-006_p3,736,F:/OPTCG_Images/PRB01/parallel/OP01-006_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-006_p3.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (212357); F-drive write was redundant duplicate
OP01-006_p4,737,F:/OPTCG_Images/PRB01/parallel/OP01-006_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-006_p4.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (204313); F-drive write was redundant duplicate
OP01-006_p5,738,F:/OPTCG_Images/PRB01/parallel/OP01-006_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-006_p5.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (178618); F-drive write was redundant duplicate
OP01-008_p1,747,F:/OPTCG_Images/OP01/parallel/OP01-008_p1.png,D:\Miru_Assets\OP01\parallel\OP01-008_p1.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (211285); F-drive write was redundant duplicate
OP01-013::1st anniversary alt,758,F:/OPTCG_Images/P/base/OP01-013.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-013::25th,759,F:/OPTCG_Images/P/base/OP01-013.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of 1st anniversary alt
OP01-014::film,770,F:/OPTCG_Images/P/base/OP01-014.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-014::film2,771,F:/OPTCG_Images/P/base/OP01-014.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of film
OP01-016::1st anniversary alt,779,F:/OPTCG_Images/P/base/OP01-016.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-016::25th,780,F:/OPTCG_Images/P/base/OP01-016.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of 1st anniversary alt
OP01-016_p2,789,F:/OPTCG_Images/OP05/parallel/OP01-016_p2.png,D:\Miru_Assets\OP05\parallel\OP01-016_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (285621); F-drive write was redundant duplicate
OP01-016_p8,794,F:/OPTCG_Images/PRB01/parallel/OP01-016_p8.png,D:\Miru_Assets\PRB01\parallel\OP01-016_p8.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (226749); F-drive write was redundant duplicate
OP01-017::1st anniversary alt,798,F:/OPTCG_Images/P/base/OP01-017.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-017::film,801,F:/OPTCG_Images/P/base/OP01-017.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of 1st anniversary alt
OP01-017::film2,802,F:/OPTCG_Images/P/base/OP01-017.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of 1st anniversary alt
OP01-021::film,815,F:/OPTCG_Images/P/base/OP01-021.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-021::film2,816,F:/OPTCG_Images/P/base/OP01-021.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific; duplicate of film
OP01-022::25th,823,F:/OPTCG_Images/P/base/OP01-022.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-024_p3,831,F:/OPTCG_Images/PRB01/parallel/OP01-024_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-024_p3.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (214926); F-drive write was redundant duplicate
OP01-025::1st anniversary alt,836,F:/OPTCG_Images/P/base/OP01-025.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-029_p2,853,F:/OPTCG_Images/PRB01/parallel/OP01-029_p2.png,D:\Miru_Assets\PRB01\parallel\OP01-029_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (175915); F-drive write was redundant duplicate
OP01-029_p3,854,F:/OPTCG_Images/PRB01/parallel/OP01-029_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-029_p3.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (160803); F-drive write was redundant duplicate
OP01-030::2nd anniversary alt,859,F:/OPTCG_Images/P/base/OP01-030.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-033_p3,872,F:/OPTCG_Images/PRB01/parallel/OP01-033_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-033_p3.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (148415); F-drive write was redundant duplicate
OP01-033_p5,874,F:/OPTCG_Images/PRB01/parallel/OP01-033_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (224633); F-drive write was redundant duplicate; market match HELD pending alt/full-art disambiguation
OP01-034_p1,881,F:/OPTCG_Images/OP01/parallel/OP01-034_p1.png,D:\Miru_Assets\OP01\parallel\OP01-034_p1.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (209542); F-drive write was redundant duplicate
OP01-035_p2,887,F:/OPTCG_Images/OP07/parallel/OP01-035_p2.png,D:\Miru_Assets\OP07\parallel\OP01-035_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (217137); F-drive write was redundant duplicate
OP01-039_p1,899,F:/OPTCG_Images/PRB02/parallel/OP01-039_p1.png,D:\Miru_Assets\PRB02\parallel\OP01-039_p1.png,SKIPPED_ALREADY_CORRECT,BORDERLINE,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (1852761) 868x1213; F-drive write was redundant duplicate
OP01-041_p1,908,F:/OPTCG_Images/PRB01/parallel/OP01-041_p7.png,D:\Miru_Assets\PRB01\parallel\OP01-041_p7.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (79710); note: filename suffix mismatch p1 vs p7 is pre-existing; F-drive write was redundant duplicate
OP01-041_p5,911,F:/OPTCG_Images/PRB01/parallel/OP01-041_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (195339); F-drive write was redundant duplicate
OP01-047_p2,929,F:/OPTCG_Images/OP04/parallel/OP01-047_p2.png,D:\Miru_Assets\OP04\parallel\OP01-047_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (199222); F-drive write was redundant duplicate
OP01-047_p4,930,F:/OPTCG_Images/PRB01/parallel/OP01-047_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-047_p4.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (233918); F-drive write was redundant duplicate
OP01-048_p1,937,F:/OPTCG_Images/OP01/parallel/OP01-048_p1.png,D:\Miru_Assets\OP01\parallel\OP01-048_p1.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (208671); F-drive write was redundant duplicate
OP01-051_p2,946,F:/OPTCG_Images/OP03/parallel/OP01-051_p2.png,D:\Miru_Assets\OP03\parallel\OP01-051_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (241401); F-drive write was redundant duplicate
OP01-051_p4,947,F:/OPTCG_Images/PRB01/parallel/OP01-051_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-051_p4.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (189582); F-drive write was redundant duplicate
OP01-051::wanted,950,F:/OPTCG_Images/P/base/OP01-051.png,,NOT_USED_ACTIVE_PIPELINE,LOW_RES,image_assets.local_path uses OP01-XXX.png; D:\Miru_Assets\P\base uses P-XXX.png convention; PM cannot serve; content=base card art not promo-specific
OP01-052_p3,956,F:/OPTCG_Images/PRB01/parallel/OP01-052_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-052_p3.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (171761); F-drive write was redundant duplicate
OP01-052_p4,957,F:/OPTCG_Images/PRB01/parallel/OP01-052_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-052_p4.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (152717); F-drive write was redundant duplicate
OP01-055_p1,966,F:/OPTCG_Images/PRB02/parallel/OP01-055_p1.png,D:\Miru_Assets\PRB02\parallel\OP01-055_p1.png,SKIPPED_ALREADY_CORRECT,BORDERLINE,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (1232375) 868x1213; F-drive write was redundant duplicate
OP01-064_p1,997,F:/OPTCG_Images/OP01/parallel/OP01-064_p1.png,D:\Miru_Assets\OP01\parallel\OP01-064_p1.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (228415); F-drive write was redundant duplicate
OP01-070_p4,1016,F:/OPTCG_Images/PRB01/parallel/OP01-070_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-070_p4.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (202614); F-drive write was redundant duplicate
OP01-073_p2,1027,F:/OPTCG_Images/OP07/parallel/OP01-073_p2.png,D:\Miru_Assets\OP07\parallel\OP01-073_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (256745); F-drive write was redundant duplicate
OP01-077_p1,1041,F:/OPTCG_Images/OP01/parallel/OP01-077_p1.png,D:\Miru_Assets\OP01\parallel\OP01-077_p1.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (193231); F-drive write was redundant duplicate
OP01-078_p2,1046,F:/OPTCG_Images/OP04/parallel/OP01-078_p2.png,D:\Miru_Assets\OP04\parallel\OP01-078_p2.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (179235); F-drive write was redundant duplicate
OP01-078_p4,1047,F:/OPTCG_Images/PRB01/parallel/OP01-078_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-078_p4.png,SKIPPED_ALREADY_CORRECT,LOW_RES,D:\Miru_Assets copy verified present mtime=2026-04-06 identical bytes (188687); F-drive write was redundant duplicate
