printing_id,canonical_code,card_name,variant_family,source,candidate_mp_id,candidate_mp_name,strong_signal_matched,signal_tier,treatment_vs_cv_fit,candidate_has_price,candidate_mid_price,candidate_low_price,existing_map_count,confidence_label,candidate_notes
6149,OP15-001,Krieg,alt,local-catalog,5455,Krieg (OP15-001) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,52.92,41.65,0,HIGH_CONFIDENCE,
6160,OP15-008,Krieg,alt,local-catalog,5466,Krieg (OP15-008) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,13.5,12.75,0,HIGH_CONFIDENCE,
6175,OP15-022,Brook,alt,local-catalog,5481,Brook (OP15-022) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,118.13,105.0,0,HIGH_CONFIDENCE,
6187,OP15-032,Brook,alt,local-catalog,5493,Brook (OP15-032) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,31.25,27.13,0,HIGH_CONFIDENCE,
6195,OP15-039,Rebecca,alt,local-catalog,5501,Rebecca (OP15-039) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,61.04,50.66,0,HIGH_CONFIDENCE,
6205,OP15-047,Sanji,alt,local-catalog,5511,Sanji (OP15-047) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,27.68,23.35,0,HIGH_CONFIDENCE,
6212,OP15-053,Rebecca,alt,local-catalog,5518,Rebecca (OP15-053) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,55.24,48.48,0,HIGH_CONFIDENCE,
6218,OP15-058,Enel,alt,local-catalog,5524,Enel (OP15-058) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,133.9,116.69,0,HIGH_CONFIDENCE,
6221,OP15-060,Enel,alt,local-catalog,5527,Enel (OP15-060) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,49.69,45.0,0,HIGH_CONFIDENCE,
6251,OP15-086,Nami,alt,local-catalog,5557,Nami (OP15-086) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,149.99,129.0,0,HIGH_CONFIDENCE,
6258,OP15-092,Monkey.D.Luffy,alt,local-catalog,5564,Monkey.D.Luffy (OP15-092) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,82.87,53.68,0,HIGH_CONFIDENCE,
6265,OP15-098,Monkey.D.Luffy,alt,local-catalog,5571,Monkey.D.Luffy (OP15-098) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,148.49,129.99,0,HIGH_CONFIDENCE,
6277,OP15-109,Nico Robin,alt,local-catalog,5583,Nico Robin (OP15-109) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,35.0,28.69,0,HIGH_CONFIDENCE,
6282,OP15-113,Roronoa Zoro,alt,local-catalog,5588,Roronoa Zoro (OP15-113) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,46.86,37.68,0,HIGH_CONFIDENCE,
6290,OP15-118,Enel,alt,local-catalog,5596,Enel (OP15-118) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,110.58,99.99,0,HIGH_CONFIDENCE,
6293,OP15-119,Monkey.D.Luffy,alt,local-catalog,5599,Monkey.D.Luffy (OP15-119) (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches variant-family preference.,1,82.22,78.72,0,HIGH_CONFIDENCE,
