printing_id,canonical_code,candidate_mp_id,candidate_mp_name,subtype,market_price,mid_price,low_price,prices_updated_at,price_row_count,price_confidence_note
6149,OP15-001,5455,Krieg (OP15-001) (Alternate Art),Foil,52.92,52.92,41.65,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6160,OP15-008,5466,Krieg (OP15-008) (Alternate Art),Foil,12.94,13.5,12.75,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6175,OP15-022,5481,Brook (OP15-022) (Alternate Art),Foil,118.13,118.13,105.0,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6187,OP15-032,5493,Brook (OP15-032) (Alternate Art),Foil,30.66,31.25,27.13,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6195,OP15-039,5501,Rebecca (OP15-039) (Alternate Art),Foil,60.0,61.04,50.66,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6205,OP15-047,5511,Sanji (OP15-047) (Alternate Art),Foil,27.9,27.68,23.35,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6212,OP15-053,5518,Rebecca (OP15-053) (Alternate Art),Foil,47.89,55.24,48.48,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6218,OP15-058,5524,Enel (OP15-058) (Alternate Art),Foil,116.67,133.9,116.69,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6221,OP15-060,5527,Enel (OP15-060) (Alternate Art),Foil,49.69,49.69,45.0,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6251,OP15-086,5557,Nami (OP15-086) (Alternate Art),Foil,142.77,149.99,129.0,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6258,OP15-092,5564,Monkey.D.Luffy (OP15-092) (Alternate Art),Foil,79.67,82.87,53.68,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6265,OP15-098,5571,Monkey.D.Luffy (OP15-098) (Alternate Art),Foil,156.8,148.49,129.99,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6277,OP15-109,5583,Nico Robin (OP15-109) (Alternate Art),Foil,28.82,35.0,28.69,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6282,OP15-113,5588,Roronoa Zoro (OP15-113) (Alternate Art),Foil,41.8,46.86,37.68,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6290,OP15-118,5596,Enel (OP15-118) (Alternate Art),Foil,101.16,110.58,99.99,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
6293,OP15-119,5599,Monkey.D.Luffy (OP15-119) (Alternate Art),Foil,80.68,82.22,78.72,2026-04-02 03:06:21,1,PRICE_ROW_CONFIRMED; SUBTYPE_PRESENT:Foil
