cv_id,canonical_code,cv_variant_type,rejected_mp_id,new_candidate_mp_id,new_candidate_mp_name,strong_signal_matched,signal_tier,treatment_signal_vs_cv_flags,new_candidate_has_price,new_candidate_mid_price,new_candidate_low_price,existing_map_count,confidence_label,candidate_notes
6151,OP15-002,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5456,5457,Lucy (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,134.99,113.45,0,HIGH_CONFIDENCE,
6153,OP15-003,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5458,5459,Alvida (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,13.41,10.0,0,HIGH_CONFIDENCE,
6158,OP15-007,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5463,5464,Gin (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,8.29,7.65,0,HIGH_CONFIDENCE,
6179,OP15-025,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5484,5485,Kuro (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,26.04,16.68,0,HIGH_CONFIDENCE,
6203,OP15-046,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5508,5509,Sabo (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,35.33,32.12,0,HIGH_CONFIDENCE,
6223,OP15-061,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5528,5529,Ohm (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,28.05,22.69,0,HIGH_CONFIDENCE,
6240,OP15-077,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5545,5546,Lightning Dragon (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,170.77,125.0,0,HIGH_CONFIDENCE,
6242,OP15-078,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5547,5548,Mamaragan (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,54.99,54.99,0,HIGH_CONFIDENCE,
6284,OP15-114,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5589,5590,Wyper (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,33.0,29.94,0,HIGH_CONFIDENCE,
6287,OP15-116,is_parallel=0;is_sp=0;is_tr=0;is_alt=1;is_manga_rare=0;is_anniversary=0,5592,5593,Gum-Gum Golden Rifle (Alternate Art),Alternate Art,STRONG,Alternate Art directly matches cv treatment flags.,1,136.89,125.77,0,HIGH_CONFIDENCE,
