cv_id,canonical_code,card_name,variant_family,source,tcgplayer_product_id,total_local_mp_rows_found,strong_signal_mp_ids,strong_signal_mp_names,weak_signal_mp_ids,weak_signal_mp_names,local_catalog_classification,next_lane_tag,notes
582,EB04-001,Jewelry Bonney,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
584,EB04-002,Jewelry Bonney,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
586,EB04-003,Smoker & Tashigi,sp,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
591,EB04-007,Roronoa Zoro,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
678,EB04-043,Kaku,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
680,EB04-044,Koby,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
686,EB04-048,Rob Lucci,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
691,EB04-052,Sanji,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
698,EB04-058,Borsalino,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
702,EB04-061,Monkey.D.Luffy,alt,local-catalog,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
6149,OP15-001,Krieg,alt,local-catalog,,2,5455,Krieg (OP15-001) (Alternate Art),5454,Krieg (OP15-001),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6160,OP15-008,Krieg,alt,local-catalog,,2,5466,Krieg (OP15-008) (Alternate Art),5465,Krieg (OP15-008),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6175,OP15-022,Brook,alt,local-catalog,,2,5481,Brook (OP15-022) (Alternate Art),5480,Brook (OP15-022),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6187,OP15-032,Brook,alt,local-catalog,,2,5493,Brook (OP15-032) (Alternate Art),5492,Brook (OP15-032),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6195,OP15-039,Rebecca,alt,local-catalog,,2,5501,Rebecca (OP15-039) (Alternate Art),5500,Rebecca (OP15-039),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6205,OP15-047,Sanji,alt,local-catalog,,2,5511,Sanji (OP15-047) (Alternate Art),5510,Sanji (OP15-047),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6212,OP15-053,Rebecca,alt,local-catalog,,2,5518,Rebecca (OP15-053) (Alternate Art),5517,Rebecca (OP15-053),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
