card_code,printing_id,variant_key,mapped_product_id,market_price,mid_price,low_price,image_path,mapping_confidence,release_set_code,certification_status,failure_reason
OP01-001,707,alt,814,66.58,74.79,62.0,OP01/alt/OP01-001_alt.png,HIGH,OP01,CERTIFIED,
OP01-001,704,base,327,2.02,2.5,1.0,OP01/base/OP01-001.png,HIGH,OP01,CERTIFIED,
OP01-001,708,parallel_1,,,,,OP01/parallel/OP01-001_p1.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-001,709,parallel_2,,,,,PCC25/parallel/OP01-001_p2.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-001,706,promo,,,,,P/base/OP01-001.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-002,712,alt,,,,,thumbs/OP01-002(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-002,710,base,309,1.13,1.18,0.28,OP01/base/OP01-002.png,HIGH,OP01,CERTIFIED,
OP01-002,713,parallel_1,,,,,OP01/parallel/OP01-002_p1.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-003,716,alt,,,,,thumbs/OP01-003(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-003,714,base,330,6.57,10.0,6.34,OP01/base/OP01-003.png,HIGH,OP01,CERTIFIED,
OP01-003,717,parallel_1,,,,,OP01/parallel/OP01-003_p1.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-004,721,alt,,,,,thumbs/OP01-004(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-004,718,base,331,0.2,0.25,0.06,OP01/base/OP01-004.png,HIGH,OP01,CERTIFIED,
OP01-004,722,parallel_1,,,,,ANN1EN/parallel/OP01-004_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-004,720,promo,,,,,P/base/OP01-004.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-005,725,alt,,,,,thumbs/OP01-005alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-005,726,alt,,,,,thumbs/OP01-005(alt2).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-005,723,base,332,0.45,0.45,0.14,OP01/base/OP01-005.png,HIGH,OP01,CERTIFIED,
OP01-005,729,parallel_1,,,,,PCCFR/parallel/OP01-005_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-005,730,parallel_2,,,,,GC01/parallel/OP01-005_p2.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-005,727,promo,,,,,P/base/OP01-005.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-005,728,promo,,,,,P/base/OP01-005.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-006,733,alt,,,,,thumbs/OP01-006(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,734,alt,,,,,thumbs/OP01-006alt2.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,739,alt,,,,,thumbs/OP01-006(PRB01alt1).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,740,alt,,,,,thumbs/OP01-006(PRB01alt2).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,731,base,333,0.41,0.75,0.25,OP01/base/OP01-006.png,HIGH,OP01,CERTIFIED,
OP01-006,735,parallel_1,,,,,ANN1JP/parallel/OP01-006_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,736,parallel_3,,,,,PRB01/parallel/OP01-006_p3.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,737,parallel_4,,,,,PRB01/parallel/OP01-006_p4.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,738,parallel_5,,,,,PRB01/parallel/OP01-006_p5.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-006,741,r1,333,0.41,0.75,0.25,OP01/base/OP01-006.png,reprint_share,PRB01,CERTIFIED,
OP01-007,742,base,334,0.06,0.15,0.01,OP01/base/OP01-007.png,HIGH,OP01,CERTIFIED,
OP01-008,746,alt,,,,,thumbs/OP01-008(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-008,744,base,335,0.08,0.15,0.01,OP01/base/OP01-008.png,HIGH,OP01,CERTIFIED,
OP01-008,747,parallel_1,,,,,OP01/parallel/OP01-008_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-009,748,base,336,0.11,0.17,0.02,OP01/base/OP01-009.png,HIGH,OP01,CERTIFIED,
OP01-010,750,base,337,0.11,0.15,0.01,OP01/base/OP01-010.png,HIGH,OP01,CERTIFIED,
OP01-011,752,base,338,0.12,0.2,0.05,OP01/base/OP01-011.png,HIGH,OP01,CERTIFIED,
OP01-012,754,base,339,0.06,0.15,0.01,OP01/base/OP01-012.png,HIGH,OP01,CERTIFIED,
OP01-013,760,alt,,,,,thumbs/OP01-013(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-013,761,alt,,,,,thumbs/OP01-013(alt2).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-013,762,alt,,,,,thumbs/OP01-013alt3.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-013,756,base,340,1.07,1.96,0.69,OP01/base/OP01-013.png,HIGH,OP01,CERTIFIED,
OP01-013,763,parallel_1,815,13.2,19.15,12.0,OP01/parallel/OP01-013_p1.png,HIGH,OP01,CERTIFIED,
OP01-013,764,parallel_2,,,,,PCC25/parallel/OP01-013_p2.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-013,765,parallel_3,,,,,GC01/parallel/OP01-013_p3.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-013,766,parallel_4,,,,,ANN1EN/parallel/OP01-013_p4.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-013,758,promo,,,,,P/base/OP01-013.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-013,759,promo,,,,,P/base/OP01-013.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-013,767,tr,,,,,thumbs/OP01-013(TR-alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-014,768,base,342,0.19,0.2,0.05,OP01/base/OP01-014.png,HIGH,OP01,CERTIFIED,
OP01-014,772,parallel_1,,,,,PCCFR/parallel/OP01-014_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-014,770,promo,,,,,P/base/OP01-014.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-014,771,promo,,,,,P/base/OP01-014.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
