card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,source,audit_classification,expected_flag,action_needed
OP01-001,706,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-005,727,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-005,728,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-006,739,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-006,740,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-006,741,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-013,759,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-014,770,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-014,771,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-016,780,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-017,801,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-017,802,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-021,817,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-021,815,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-021,816,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-022,823,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-024,832,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-024,833,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-029,856,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-033,876,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-033,877,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-035,889,sp,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_sp,PATCH_FLAG
OP01-039,900,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-041,912,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-041,913,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-047,931,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-047,932,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-047,933,sp,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_sp,PATCH_FLAG
OP01-051,948,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-051,949,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-052,958,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-052,959,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-055,967,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-060,983,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-070,1017,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-070,1018,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-073,1028,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-073,1029,sp,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_sp,PATCH_FLAG
OP01-078,1048,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-078,1049,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-078,1050,sp,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_sp,PATCH_FLAG
OP01-086,1068,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-120,1161,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-120,1164,promo,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_promo,PATCH_FLAG
OP01-120,1162,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-120,1163,r2,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
OP01-121,1172,alt,0,0,0,0,0,0,0,0,local-catalog,FLAG_MISSING,is_alt,PATCH_FLAG
OP01-121,1167,operator_review,0,0,0,0,0,0,0,0,local-catalog,SCAN_RULE_GAP,,PATCH_SCAN
OP01-121,1173,r1,0,0,0,0,0,0,0,0,official-cardlist,FLAG_MISSING,is_base,PATCH_FLAG
