card_code,printing_id,variant_key,current_local_path,candidate_paths_checked,matched_path,file_exists,reconciliation_type
OP01-001,704,base,OP01/base/thumbs/OP01-001.webp,OP01\base\OP01-001.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-001.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-001.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-001.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-001.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-001.png,YES,THUMBS_TO_BASE_FIX
OP01-002,710,base,OP01/base/thumbs/OP01-002.webp,OP01\base\OP01-002.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-002.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-002.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-002.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-002.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-002.png,YES,THUMBS_TO_BASE_FIX
OP01-003,714,base,OP01/base/thumbs/OP01-003.webp,OP01\base\OP01-003.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-003.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-003.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-003.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-003.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-003.png,YES,THUMBS_TO_BASE_FIX
OP01-004,718,base,OP01/base/thumbs/OP01-004.webp,OP01\base\OP01-004.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-004.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-004.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-004.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-004.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-004.png,YES,THUMBS_TO_BASE_FIX
OP01-005,723,base,OP01/base/thumbs/OP01-005.webp,OP01\base\OP01-005.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-005.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-005.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-005.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-005.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-005.png,YES,THUMBS_TO_BASE_FIX
OP01-006,731,base,OP01/base/thumbs/OP01-006.webp,OP01\base\OP01-006.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-006.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-006.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-006.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-006.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-006.png,YES,THUMBS_TO_BASE_FIX
OP01-007,742,base,OP01/base/thumbs/OP01-007.webp,OP01\base\OP01-007.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-007.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-007.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-007.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-007.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-007.png,YES,THUMBS_TO_BASE_FIX
OP01-008,744,base,OP01/base/thumbs/OP01-008.webp,OP01\base\OP01-008.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-008.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-008.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-008.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-008.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-008.png,YES,THUMBS_TO_BASE_FIX
OP01-009,748,base,OP01/base/thumbs/OP01-009.webp,OP01\base\OP01-009.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-009.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-009.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-009.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-009.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-009.png,YES,THUMBS_TO_BASE_FIX
OP01-010,750,base,OP01/base/thumbs/OP01-010.webp,OP01\base\OP01-010.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-010.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-010.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-010.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-010.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-010.png,YES,THUMBS_TO_BASE_FIX
