printing_id,card_code,variant_key,justtcg_found,tcgplayer_product_id,variant_id,product_name,resolved_set_context,listing_type,confidence,discovery_note
736,OP01-006,parallel_3,TRUE,586187; 593270; 594067; 594291,,Otama (Alternate Art); Otama (Full Art); Otama (Jolly Roger Foil); Otama (Reprint),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,3 variants vs 4 alt-set SKUs - pairing requires parallel identity mapping
737,OP01-006,parallel_4,TRUE,586187; 593270; 594067; 594291,,Otama (Alternate Art); Otama (Full Art); Otama (Jolly Roger Foil); Otama (Reprint),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,3 variants vs 4 alt-set SKUs - pairing requires parallel identity mapping
738,OP01-006,parallel_5,TRUE,586187; 593270; 594067; 594291,,Otama (Alternate Art); Otama (Full Art); Otama (Jolly Roger Foil); Otama (Reprint),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,3 variants vs 4 alt-set SKUs - pairing requires parallel identity mapping
853,OP01-029,parallel_2,TRUE,593883; 593272,,Radical Beam!! (Textured Foil); Radical Beam!! (Jolly Roger Foil),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,2 variants vs 2 alt-set SKUs - pairing requires parallel identity mapping
854,OP01-029,parallel_3,TRUE,593883; 593272,,Radical Beam!! (Textured Foil); Radical Beam!! (Jolly Roger Foil),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,2 variants vs 2 alt-set SKUs - pairing requires parallel identity mapping
872,OP01-033,parallel_3,TRUE,593285; 593284; 586589,,Izo (OP01-033) (Alternate Art); Izo (OP01-033) (Full Art); Izo (OP01-033) (Jolly Roger Foil),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,2 variants vs 3 alt-set SKUs - pairing requires parallel identity mapping
874,OP01-033,parallel_5,TRUE,593285; 593284; 586589,,Izo (OP01-033) (Alternate Art); Izo (OP01-033) (Full Art); Izo (OP01-033) (Jolly Roger Foil),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,2 variants vs 3 alt-set SKUs - pairing requires parallel identity mapping
887,OP01-035,parallel_2,TRUE,525308; 503247; 564253; 499432; 503243,,Okiku (CS 2023 Celebration Pack); Okiku (Winner Pack Vol. 4); Okiku (Premium Card Collection -BANDAI Fest 23-24-); Okiku (Judge); Okiku (Tournament Pack Vol. 4),One Piece Promotion Cards,AMBIGUOUS,MEDIUM,1 variants vs 5 alt-set SKUs - pairing requires parallel identity mapping
899,OP01-039,parallel_1,TRUE,525675; 525674; 483099; 544613,,Killer (CS 2023 Top Players Pack) [Finalist]; Killer (CS 2023 Top Players Pack); Killer (Promotion Pack 2023); Killer (Judge Pack Vol. 3),One Piece Promotion Cards,AMBIGUOUS,MEDIUM,1 variants vs 4 alt-set SKUs - pairing requires parallel identity mapping
908,OP01-041,parallel_1,TRUE,586591; 593286; 586590,,Kouzuki Momonosuke (Alternate Art); Kouzuki Momonosuke (Full Art); Kouzuki Momonosuke (Jolly Roger Foil),Premium Booster -The Best-,AMBIGUOUS,MEDIUM,2 variants vs 3 alt-set SKUs - pairing requires parallel identity mapping
