card_code,printing_id,variant_key,market_product_id,tcg_image_url,url_status
OP01-002,712,alt,,,NO_BRIDGE
OP01-003,716,alt,,,NO_BRIDGE
OP01-004,721,alt,,,NO_BRIDGE
OP01-005,725,alt,,,NO_BRIDGE
OP01-005,726,alt,,,NO_BRIDGE
OP01-006,733,alt,,,NO_BRIDGE
OP01-006,734,alt,,,NO_BRIDGE
OP01-006,739,alt,,,NO_BRIDGE
OP01-006,740,alt,,,NO_BRIDGE
OP01-008,746,alt,,,NO_BRIDGE
OP01-013,760,alt,,,NO_BRIDGE
OP01-013,761,alt,,,NO_BRIDGE
OP01-013,762,alt,,,NO_BRIDGE
OP01-015,775,alt,,,NO_BRIDGE
OP01-016,781,alt,,,NO_BRIDGE
OP01-016,783,alt,,,NO_BRIDGE
OP01-016,784,alt,,,NO_BRIDGE
OP01-016,785,alt,,,NO_BRIDGE
OP01-016,786,alt,,,NO_BRIDGE
OP01-016,795,alt,,,NO_BRIDGE
OP01-017,799,alt,,,NO_BRIDGE
OP01-017,800,alt,,,NO_BRIDGE
OP01-021,813,alt,,,NO_BRIDGE
OP01-021,814,alt,,,NO_BRIDGE
OP01-021,817,alt,,,NO_BRIDGE
OP01-024,829,alt,,,NO_BRIDGE
OP01-024,832,alt,,,NO_BRIDGE
OP01-025,837,alt,,,NO_BRIDGE
OP01-025,838,alt,,,NO_BRIDGE
OP01-025,839,alt,,,NO_BRIDGE
OP01-025,843,alt,,,NO_BRIDGE
OP01-029,852,alt,,,NO_BRIDGE
OP01-031,863,alt,,,NO_BRIDGE
OP01-033,869,alt,,,NO_BRIDGE
OP01-033,870,alt,,,NO_BRIDGE
OP01-033,876,alt,,,NO_BRIDGE
OP01-034,880,alt,,,NO_BRIDGE
OP01-035,884,alt,,,NO_BRIDGE
OP01-035,885,alt,,,NO_BRIDGE
OP01-039,898,alt,,,NO_BRIDGE
OP01-040,903,alt,,,NO_BRIDGE
OP01-041,907,alt,,,NO_BRIDGE
OP01-041,912,alt,,,NO_BRIDGE
OP01-041,914,alt,,,NO_BRIDGE
OP01-047,927,alt,,,NO_BRIDGE
OP01-047,931,alt,,,NO_BRIDGE
OP01-048,936,alt,,,NO_BRIDGE
OP01-051,944,alt,,,NO_BRIDGE
OP01-051,948,alt,,,NO_BRIDGE
OP01-052,953,alt,,,NO_BRIDGE
OP01-052,954,alt,,,NO_BRIDGE
OP01-052,958,alt,,,NO_BRIDGE
OP01-057,972,alt,,,NO_BRIDGE
OP01-060,980,alt,,,NO_BRIDGE
OP01-060,983,alt,,,NO_BRIDGE
OP01-061,986,alt,,,NO_BRIDGE
OP01-062,990,alt,,,NO_BRIDGE
OP01-064,996,alt,,,NO_BRIDGE
OP01-067,1004,alt,,,NO_BRIDGE
OP01-070,1012,alt,,,NO_BRIDGE
OP01-070,1013,alt,,,NO_BRIDGE
OP01-070,1017,alt,,,NO_BRIDGE
OP01-073,1025,alt,,,NO_BRIDGE
OP01-077,1038,alt,,,NO_BRIDGE
OP01-077,1039,alt,,,NO_BRIDGE
OP01-077,1040,alt,,,NO_BRIDGE
OP01-078,1044,alt,,,NO_BRIDGE
OP01-078,1048,alt,,,NO_BRIDGE
OP01-079,1053,alt,,,NO_BRIDGE
OP01-091,1079,alt,,,NO_BRIDGE
OP01-093,1085,alt,,,NO_BRIDGE
OP01-093,1086,alt,,,NO_BRIDGE
OP01-094,1090,alt,,,NO_BRIDGE
OP01-094,1091,alt,,,NO_BRIDGE
OP01-096,1097,alt,,,NO_BRIDGE
OP01-101,1110,alt,,,NO_BRIDGE
OP01-102,1114,alt,,,NO_BRIDGE
OP01-108,1128,alt,,,NO_BRIDGE
OP01-109,1131,alt,,,NO_BRIDGE
OP01-114,1143,alt,,,NO_BRIDGE
OP01-120,1156,alt,,,NO_BRIDGE
OP01-120,1161,alt,,,NO_BRIDGE
OP01-121,1168,alt,,,NO_BRIDGE
OP01-121,1172,alt,,,NO_BRIDGE
OP01-016,787,mr,,,NO_BRIDGE
OP01-035,889,sp,,,NO_BRIDGE
OP01-047,933,sp,,,NO_BRIDGE
OP01-073,1029,sp,,,NO_BRIDGE
OP01-078,1050,sp,,,NO_BRIDGE
OP01-013,767,tr,,,NO_BRIDGE
