printing_id,card_code,variant_key,tcgplayer_product_id,resolved_treatment,bridge_status,db_table_touched,failure_reason
736,OP01-006,parallel_3,594067,Jolly Roger Foil,BRIDGED,printing_market_map,
737,OP01-006,parallel_4,593270,Full Art,BRIDGED,printing_market_map,
738,OP01-006,parallel_5,586187,Alternate Art,BRIDGED,printing_market_map,
747,OP01-008,parallel_1,453507,Box Topper,BRIDGED,printing_market_map,
789,OP01-016,parallel_2,454536,SP,BRIDGED,printing_market_map,
794,OP01-016,parallel_8,587966,Manga,BRIDGED,printing_market_map,
831,OP01-024,parallel_3,453509,Alternate Art,BRIDGED,printing_market_map,
853,OP01-029,parallel_2,593272,Jolly Roger Foil,BRIDGED,printing_market_map,
854,OP01-029,parallel_3,593883,Textured Foil,BRIDGED,printing_market_map,
872,OP01-033,parallel_3,586589,Jolly Roger Foil,BRIDGED,printing_market_map,
874,OP01-033,parallel_5,,AMBIGUOUS (Alternate Art or Full Art),HELD_AMBIGUOUS,,
881,OP01-034,parallel_1,453513,Box Topper,BRIDGED,printing_market_map,
887,OP01-035,parallel_2,,SP,FAILED,,OP-07 SP product not found in JustTCG discovery scope
899,OP01-039,parallel_1,,Pirate Foil,FAILED,,PRB-02 Pirate Foil product not found in JustTCG discovery scope
908,OP01-041,parallel_1,586590,Jolly Roger Foil,BRIDGED,printing_market_map,
911,OP01-041,parallel_5,,AMBIGUOUS (Alternate Art or Full Art),HELD_AMBIGUOUS,,
929,OP01-047,parallel_2,453515,SP,BRIDGED,printing_market_map,
930,OP01-047,parallel_4,586893,Alternate Art,BRIDGED,printing_market_map,
937,OP01-048,parallel_1,453516,Box Topper,BRIDGED,printing_market_map,
946,OP01-051,parallel_2,454576,SP (Wanted Poster),BRIDGED,printing_market_map,
947,OP01-051,parallel_4,586892,Alternate Art,BRIDGED,printing_market_map,
956,OP01-052,parallel_3,593291,Jolly Roger Foil,BRIDGED,printing_market_map,
957,OP01-052,parallel_4,593292,Full Art,BRIDGED,printing_market_map,
966,OP01-055,parallel_1,656002,Pirate Foil,BRIDGED,printing_market_map,
997,OP01-064,parallel_1,453518,Box Topper,BRIDGED,printing_market_map,
1016,OP01-070,parallel_4,454599,Alternate Art,BRIDGED,printing_market_map,
1027,OP01-073,parallel_2,454603,SP,BRIDGED,printing_market_map,
1041,OP01-077,parallel_1,453520,Box Topper,BRIDGED,printing_market_map,
1046,OP01-078,parallel_2,454609,SP,BRIDGED,printing_market_map,
1047,OP01-078,parallel_4,586548,Alternate Art,BRIDGED,printing_market_map,
1132,OP01-109,parallel_1,453522,Box Topper,BRIDGED,printing_market_map,
1159,OP01-120,parallel_2,454666,Manga (Alternate Art),BRIDGED,printing_market_map,
1160,OP01-120,parallel_5,586194,Alternate Art,BRIDGED,printing_market_map,
1170,OP01-121,parallel_2,454669,SP,BRIDGED,printing_market_map,
1171,OP01-121,parallel_4,586891,Alternate Art,BRIDGED,printing_market_map,
