card_code,card_image_id,provenance_folder,derived_full_local_path,file_exists,file_size_bytes,duplicate_target_group_id,registration_readiness,audit_note
OP01-006,OP01-006_p3,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-006_p3.png,yes,212357,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-006,OP01-006_p5,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-006_p5.png,yes,178618,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-006,OP01-006_p4,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-006_p4.png,yes,204313,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-008,OP01-008_p1,OP01,D:\Miru_Assets\OP01\parallel\OP01-008_p1.png,yes,211285,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-016,OP01-016_p2,OP05,D:\Miru_Assets\OP05\parallel\OP01-016_p2.png,yes,285621,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-016,OP01-016_p8,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-016_p8.png,yes,226749,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-024,OP01-024_p3,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-024_p3.png,yes,214926,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-029,OP01-029_p2,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-029_p2.png,yes,175915,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-029,OP01-029_p3,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-029_p3.png,yes,160803,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-033,OP01-033_p3,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-033_p3.png,yes,148415,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-033,OP01-033_p5,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,yes,224633,1,READY_FOR_REGISTRATION_DUPLICATE_TARGET_GROUP,Duplicate target group 1. fetch_status=FETCHED. Two OPTCG API printings share same card_image_id; file on disk was written from first URL fetched.
OP01-033,OP01-033_p5,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,yes,224633,1,READY_FOR_REGISTRATION_DUPLICATE_TARGET_GROUP,Duplicate target group 1. fetch_status=FETCHED. Two OPTCG API printings share same card_image_id; file on disk was written from first URL fetched.
OP01-034,OP01-034_p1,OP01,D:\Miru_Assets\OP01\parallel\OP01-034_p1.png,yes,209542,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-035,OP01-035_p2,OP07,D:\Miru_Assets\OP07\parallel\OP01-035_p2.png,yes,217137,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-039,OP01-039_p1,PRB02,D:\Miru_Assets\PRB02\parallel\OP01-039_p1.png,yes,1852761,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-041,OP01-041_p7,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-041_p7.png,yes,79710,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-041,OP01-041_p5,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,yes,195339,2,READY_FOR_REGISTRATION_DUPLICATE_TARGET_GROUP,Duplicate target group 2. fetch_status=FETCHED. Two OPTCG API printings share same card_image_id; file on disk was written from first URL fetched.
OP01-041,OP01-041_p5,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,yes,195339,2,READY_FOR_REGISTRATION_DUPLICATE_TARGET_GROUP,Duplicate target group 2. fetch_status=FETCHED. Two OPTCG API printings share same card_image_id; file on disk was written from first URL fetched.
OP01-047,OP01-047_p2,OP04,D:\Miru_Assets\OP04\parallel\OP01-047_p2.png,yes,199222,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-047,OP01-047_p4,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-047_p4.png,yes,233918,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-048,OP01-048_p1,OP01,D:\Miru_Assets\OP01\parallel\OP01-048_p1.png,yes,208671,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-051,OP01-051_p2,OP03,D:\Miru_Assets\OP03\parallel\OP01-051_p2.png,yes,241401,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-051,OP01-051_p4,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-051_p4.png,yes,189582,,READY_FOR_REGISTRATION,fetch_status=FETCHED
OP01-052,OP01-052_p4,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-052_p4.png,yes,152717,,READY_FOR_REGISTRATION,fetch_status=FETCHED
