card_code,card_image_id,derived_full_local_path,registration_status,duplicate_target_group_id,db_table_touched,failure_reason
OP01-006,OP01-006_p3,D:\Miru_Assets\PRB01\parallel\OP01-006_p3.png,REGISTERED,,image_assets,
OP01-006,OP01-006_p5,D:\Miru_Assets\PRB01\parallel\OP01-006_p5.png,REGISTERED,,image_assets,
OP01-006,OP01-006_p4,D:\Miru_Assets\PRB01\parallel\OP01-006_p4.png,REGISTERED,,image_assets,
OP01-008,OP01-008_p1,D:\Miru_Assets\OP01\parallel\OP01-008_p1.png,REGISTERED,,image_assets,
OP01-016,OP01-016_p2,D:\Miru_Assets\OP05\parallel\OP01-016_p2.png,REGISTERED,,image_assets,
OP01-016,OP01-016_p8,D:\Miru_Assets\PRB01\parallel\OP01-016_p8.png,REGISTERED,,image_assets,
OP01-024,OP01-024_p3,D:\Miru_Assets\PRB01\parallel\OP01-024_p3.png,REGISTERED,,image_assets,
OP01-029,OP01-029_p2,D:\Miru_Assets\PRB01\parallel\OP01-029_p2.png,REGISTERED,,image_assets,
OP01-029,OP01-029_p3,D:\Miru_Assets\PRB01\parallel\OP01-029_p3.png,REGISTERED,,image_assets,
OP01-033,OP01-033_p3,D:\Miru_Assets\PRB01\parallel\OP01-033_p3.png,REGISTERED,,image_assets,
OP01-033,OP01-033_p5,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,REGISTERED_SHARED_DUPLICATE_GROUP,1,image_assets,
OP01-033,OP01-033_p5,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,REGISTERED_SHARED_DUPLICATE_GROUP,1,image_assets (covered by group leader row),
OP01-034,OP01-034_p1,D:\Miru_Assets\OP01\parallel\OP01-034_p1.png,REGISTERED,,image_assets,
OP01-035,OP01-035_p2,D:\Miru_Assets\OP07\parallel\OP01-035_p2.png,REGISTERED,,image_assets,
OP01-039,OP01-039_p1,D:\Miru_Assets\PRB02\parallel\OP01-039_p1.png,REGISTERED,,image_assets,
OP01-041,OP01-041_p7,D:\Miru_Assets\PRB01\parallel\OP01-041_p7.png,REGISTERED,,image_assets,
OP01-041,OP01-041_p5,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,REGISTERED_SHARED_DUPLICATE_GROUP,2,image_assets,
OP01-041,OP01-041_p5,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,REGISTERED_SHARED_DUPLICATE_GROUP,2,image_assets (covered by group leader row),
OP01-047,OP01-047_p2,D:\Miru_Assets\OP04\parallel\OP01-047_p2.png,REGISTERED,,image_assets,
OP01-047,OP01-047_p4,D:\Miru_Assets\PRB01\parallel\OP01-047_p4.png,REGISTERED,,image_assets,
OP01-048,OP01-048_p1,D:\Miru_Assets\OP01\parallel\OP01-048_p1.png,REGISTERED,,image_assets,
OP01-051,OP01-051_p2,D:\Miru_Assets\OP03\parallel\OP01-051_p2.png,REGISTERED,,image_assets,
OP01-051,OP01-051_p4,D:\Miru_Assets\PRB01\parallel\OP01-051_p4.png,REGISTERED,,image_assets,
OP01-052,OP01-052_p4,D:\Miru_Assets\PRB01\parallel\OP01-052_p4.png,REGISTERED,,image_assets,
OP01-052,OP01-052_p3,D:\Miru_Assets\PRB01\parallel\OP01-052_p3.png,REGISTERED,,image_assets,
OP01-055,OP01-055_p1,D:\Miru_Assets\PRB02\parallel\OP01-055_p1.png,REGISTERED,,image_assets,
OP01-064,OP01-064_p1,D:\Miru_Assets\OP01\parallel\OP01-064_p1.png,REGISTERED,,image_assets,
OP01-070,OP01-070_p4,D:\Miru_Assets\PRB01\parallel\OP01-070_p4.png,REGISTERED,,image_assets,
OP01-073,OP01-073_p2,D:\Miru_Assets\OP07\parallel\OP01-073_p2.png,REGISTERED,,image_assets,
OP01-077,OP01-077_p1,D:\Miru_Assets\OP01\parallel\OP01-077_p1.png,REGISTERED,,image_assets,
OP01-078,OP01-078_p2,D:\Miru_Assets\OP04\parallel\OP01-078_p2.png,REGISTERED,,image_assets,
OP01-078,OP01-078_p4,D:\Miru_Assets\PRB01\parallel\OP01-078_p4.png,REGISTERED,,image_assets,
OP01-109,OP01-109_p1,D:\Miru_Assets\OP01\parallel\OP01-109_p1.png,REGISTERED,,image_assets,
OP01-120,OP01-120_p2,D:\Miru_Assets\OP01\parallel\OP01-120_p2.png,REGISTERED,,image_assets,
OP01-120,OP01-120_p5,D:\Miru_Assets\PRB01\parallel\OP01-120_p5.png,REGISTERED,,image_assets,
OP01-121,OP01-121_p2,D:\Miru_Assets\OP05\parallel\OP01-121_p2.png,REGISTERED,,image_assets,
OP01-121,OP01-121_p4,D:\Miru_Assets\PRB01\parallel\OP01-121_p4.png,REGISTERED,,image_assets,
