card_code,total_rows,issue_type,affected,preferred_reason,action,notes
OP01-001,4,LEGACY_URL_IMAGE,pid=709 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=564.49
OP01-004,3,LEGACY_URL_IMAGE,pid=722 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.2
OP01-005,4,LEGACY_URL_IMAGE,pid=729 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.45
OP01-005,4,LEGACY_URL_IMAGE,pid=730 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.45
OP01-006,5,LEGACY_URL_IMAGE,pid=735 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.41
OP01-013,5,LEGACY_URL_IMAGE,pid=764 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=46.31
OP01-013,5,LEGACY_URL_IMAGE,pid=765 key=parallel_3,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=46.31
OP01-013,5,LEGACY_URL_IMAGE,pid=766 key=parallel_4,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=46.31
OP01-014,3,LEGACY_URL_IMAGE,pid=772 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.19
OP01-015,2,LEGACY_URL_IMAGE,pid=776 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.26
OP01-016,9,LEGACY_URL_IMAGE,pid=790 key=parallel_3,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=447.06
OP01-016,9,LEGACY_URL_IMAGE,pid=791 key=parallel_4,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=None
OP01-016,9,LEGACY_URL_IMAGE,pid=792 key=parallel_5,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=447.06
OP01-016,9,LEGACY_URL_IMAGE,pid=793 key=parallel_7,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=447.06
OP01-017,4,LEGACY_URL_IMAGE,pid=803 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.39
OP01-017,4,LEGACY_URL_IMAGE,pid=804 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.39
OP01-021,5,LEGACY_URL_IMAGE,pid=818 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.2
OP01-021,5,LEGACY_URL_IMAGE,pid=819 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.2
OP01-021,5,LEGACY_URL_IMAGE,pid=820 key=parallel_3,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.2
OP01-022,3,LEGACY_URL_IMAGE,pid=824 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.29
OP01-025,4,LEGACY_URL_IMAGE,pid=841 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=171.73
OP01-025,4,LEGACY_URL_IMAGE,pid=842 key=parallel_3,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=171.73
OP01-029,4,LEGACY_URL_IMAGE,pid=855 key=parallel_4,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.45
OP01-030,3,LEGACY_URL_IMAGE,pid=860 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=1.58
OP01-033,5,LEGACY_URL_IMAGE,pid=871 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.33
OP01-035,4,LEGACY_URL_IMAGE,pid=886 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.32
OP01-052,4,LEGACY_URL_IMAGE,pid=955 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.1
OP01-057,2,LEGACY_URL_IMAGE,pid=973 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=1.54
OP01-060,3,LEGACY_URL_IMAGE,pid=982 key=parallel_2,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=None
OP01-101,2,LEGACY_URL_IMAGE,pid=1111 key=parallel_1,"image from Bandai CDN, not local",ACCEPTABLE_IF_UNIQUE,price=0.33
