card_code,provenance_folder,derived_full_local_path,official_source_url,fetch_status,bytes_written,failure_reason
OP01-008,OP01,D:\Miru_Assets\OP01\parallel\OP01-008_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-008_p1.jpg,FETCHED,211285,
OP01-016,OP05,D:\Miru_Assets\OP05\parallel\OP01-016_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-016_p2.jpg,FETCHED,285621,
OP01-034,OP01,D:\Miru_Assets\OP01\parallel\OP01-034_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-034_p1.jpg,FETCHED,209542,
OP01-035,OP07,D:\Miru_Assets\OP07\parallel\OP01-035_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-035_p2.jpg,FETCHED,217137,
OP01-039,PRB02,D:\Miru_Assets\PRB02\parallel\OP01-039_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-039_p1.jpg,FETCHED,1852761,
OP01-047,OP04,D:\Miru_Assets\OP04\parallel\OP01-047_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-047_p2.jpg,FETCHED,199222,
OP01-048,OP01,D:\Miru_Assets\OP01\parallel\OP01-048_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-048_p1.jpg,FETCHED,208671,
OP01-051,OP03,D:\Miru_Assets\OP03\parallel\OP01-051_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-051_p2.jpg,FETCHED,241401,
OP01-055,PRB02,D:\Miru_Assets\PRB02\parallel\OP01-055_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-055_p1.jpg,FETCHED,1232375,
OP01-064,OP01,D:\Miru_Assets\OP01\parallel\OP01-064_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-064_p1.jpg,FETCHED,228415,
OP01-073,OP07,D:\Miru_Assets\OP07\parallel\OP01-073_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-073_p2.jpg,FETCHED,256745,
OP01-077,OP01,D:\Miru_Assets\OP01\parallel\OP01-077_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-077_p1.jpg,FETCHED,193231,
OP01-078,OP04,D:\Miru_Assets\OP04\parallel\OP01-078_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-078_p2.jpg,FETCHED,179235,
OP01-109,OP01,D:\Miru_Assets\OP01\parallel\OP01-109_p1.png,https://optcgapi.com/media/static/Card_Images/OP01-109_p1.jpg,FETCHED,203422,
OP01-120,OP01,D:\Miru_Assets\OP01\parallel\OP01-120_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-120_p2.jpg,FETCHED,194681,
OP01-121,OP05,D:\Miru_Assets\OP05\parallel\OP01-121_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-121_p2.jpg,FETCHED,227644,
