card_id,card_image_id,set_name,set_id,card_name,rarity,inferred_treatment,inferred_treatment_confidence,card_image_url,local_canonical_code_match,local_variant_match_id,local_image_asset_exists,gap_status,raw_json_path
OP01-001,OP01-001,Romance Dawn,OP-01,Roronoa Zoro (001),L,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-001.jpg,yes,704,yes,OPTCG_BANDAI_MISMATCH,data/api_exploration/optcg_api_op01/OP01-001.json
OP01-001,OP01-001_p1,Romance Dawn,OP-01,Roronoa Zoro (001) (Parallel),L,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-001_p1.jpg,yes,708,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-001.json
OP01-002,OP01-002,Romance Dawn,OP-01,Trafalgar Law (002),L,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-002.jpg,yes,710,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-002.json
OP01-002,OP01-002_p1,Romance Dawn,OP-01,Trafalgar Law (002) (Parallel),L,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-002_p1.jpg,yes,713,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-002.json
OP01-003,OP01-003,Romance Dawn,OP-01,Monkey.D.Luffy (003),L,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-003.jpg,yes,714,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-003.json
OP01-003,OP01-003_p1,Romance Dawn,OP-01,Monkey.D.Luffy (003) (Parallel),L,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-003_p1.jpg,yes,717,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-003.json
OP01-004,OP01-004,Romance Dawn,OP-01,Usopp,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-004.jpg,yes,718,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-004.json
OP01-005,OP01-005,Romance Dawn,OP-01,Uta,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-005.jpg,yes,723,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-005.json
OP01-006,OP01-006,Romance Dawn,OP-01,Otama,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-006.jpg,yes,731,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-006.json
OP01-006,OP01-006_r1,Premium Booster -The Best-,PRB-01,Otama (Reprint),UC,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-006_r1.jpg,yes,741,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-006.json
OP01-006,OP01-006_p3,Premium Booster -The Best-,PRB-01,Otama (Jolly Roger Foil),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-006_p3.jpg,yes,736,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-006.json
OP01-006,OP01-006_p5,Premium Booster -The Best-,PRB-01,Otama (Alternate Art),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-006_p5.jpg,yes,738,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-006.json
OP01-006,OP01-006_p4,Premium Booster -The Best-,PRB-01,Otama (Full Art),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-006_p4.jpg,yes,737,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-006.json
OP01-007,OP01-007,Romance Dawn,OP-01,Caribou,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-007.jpg,yes,742,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-007.json
OP01-008,OP01-008_p1,Romance Dawn,OP-01,Cavendish (Box Topper),C,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-008_p1.jpg,yes,747,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-008.json
OP01-008,OP01-008,Romance Dawn,OP-01,Cavendish,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-008.jpg,yes,744,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-008.json
OP01-009,OP01-009,Romance Dawn,OP-01,Carrot,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-009.jpg,yes,748,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-009.json
OP01-010,OP01-010,Romance Dawn,OP-01,Komachiyo,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-010.jpg,yes,750,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-010.json
OP01-011,OP01-011,Romance Dawn,OP-01,Gordon,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-011.jpg,yes,752,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-011.json
OP01-012,OP01-012,Romance Dawn,OP-01,Sai,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-012.jpg,yes,754,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-012.json
OP01-013,OP01-013,Romance Dawn,OP-01,Sanji,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-013.jpg,yes,756,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-013.json
OP01-013,OP01-013_p1,Romance Dawn,OP-01,Sanji (Parallel),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-013_p1.jpg,yes,763,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-013.json
OP01-014,OP01-014,Romance Dawn,OP-01,Jinbe (014),UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-014.jpg,yes,768,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-014.json
OP01-015,OP01-015,Romance Dawn,OP-01,Tony Tony.Chopper,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-015.jpg,yes,773,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-015.json
OP01-016,OP01-016,Romance Dawn,OP-01,Nami,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-016.jpg,yes,777,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-016.json
OP01-016,OP01-016_p1,Romance Dawn,OP-01,Nami (Parallel),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-016_p1.jpg,yes,788,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-016.json
OP01-016,OP01-016_p2,Awakening of the New Era,OP-05,Nami (SP),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-016_p2.jpg,yes,789,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-016.json
OP01-016,OP01-016_p8,Premium Booster -The Best-,PRB-01,Nami (OP01-016) (Manga),R,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-016_p8.jpg,yes,794,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-016.json
OP01-017,OP01-017,Romance Dawn,OP-01,Nico Robin,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-017.jpg,yes,796,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-017.json
OP01-018,OP01-018,Romance Dawn,OP-01,Hajrudin,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-018.jpg,yes,805,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-018.json
OP01-019,OP01-019,Romance Dawn,OP-01,Bartolomeo,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-019.jpg,yes,807,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-019.json
OP01-020,OP01-020,Romance Dawn,OP-01,Hyogoro,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-020.jpg,yes,809,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-020.json
OP01-021,OP01-021,Romance Dawn,OP-01,Franky,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-021.jpg,yes,811,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-021.json
