id,printing_id,market_product_id,mapping_confidence,mapping_method,is_preferred
2167,1,2709,MEDIUM,exact_code_set_fallback,1
2168,1,2710,MEDIUM,exact_code_set_fallback,1
1191,7,1633,HIGH,exact_code_plus_base_flag,1
1192,7,1634,HIGH,exact_code_plus_base_flag,1
1193,7,1635,HIGH,exact_code_plus_base_flag,1
1290,7,1739,HIGH,exact_code_plus_base_flag,1
1294,7,1744,HIGH,exact_code_plus_base_flag,1
1298,7,1748,HIGH,exact_code_plus_base_flag,1
1346,7,1804,HIGH,exact_code_plus_base_flag,1
2171,7,2713,HIGH,exact_code_plus_base_flag,1
4453,7,5235,HIGH,exact_code_plus_base_flag,1
1021,21,1420,HIGH,exact_code_plus_base_flag,1
2175,21,2717,HIGH,exact_code_plus_base_flag,1
2176,21,2718,HIGH,exact_code_plus_base_flag,1
2750,21,3372,HIGH,exact_code_plus_base_flag,1
1270,29,1718,HIGH,exact_code_plus_base_flag,1
4009,34,4784,HIGH,exact_code_plus_base_flag,1
4010,34,4785,HIGH,exact_code_plus_base_flag,1
1022,42,1421,HIGH,exact_code_plus_base_flag,1
2183,42,2725,HIGH,exact_code_plus_base_flag,1
4011,42,4786,HIGH,exact_code_plus_base_flag,1
2185,49,2727,HIGH,exact_code_plus_base_flag,1
1036,53,1439,HIGH,exact_code_plus_base_flag,1
1040,53,1443,HIGH,exact_code_plus_base_flag,1
1239,53,1684,HIGH,exact_code_plus_base_flag,1
1089,57,1516,HIGH,exact_code_plus_base_flag,1
1094,57,1521,HIGH,exact_code_plus_base_flag,1
1240,57,1685,HIGH,exact_code_plus_base_flag,1
3512,57,4198,HIGH,exact_code_plus_base_flag,1
3991,57,4706,HIGH,exact_code_plus_base_flag,1
4012,57,4787,HIGH,exact_code_plus_base_flag,1
4013,71,4788,HIGH,exact_code_plus_base_flag,1
4014,71,4789,HIGH,exact_code_plus_base_flag,1
2194,79,2736,HIGH,exact_code_plus_base_flag,1
3237,79,3908,HIGH,exact_code_plus_base_flag,1
2196,84,2738,HIGH,exact_code_plus_base_flag,1
954,88,1348,HIGH,exact_code_plus_base_flag,1
1214,88,1657,HIGH,exact_code_plus_base_flag,1
4329,88,5111,HIGH,exact_code_plus_base_flag,1
1162,99,1597,HIGH,exact_code_plus_base_flag,1
1163,99,1598,HIGH,exact_code_plus_base_flag,1
2202,99,2744,HIGH,exact_code_plus_base_flag,1
2207,109,2749,HIGH,exact_code_plus_base_flag,1
2211,117,2753,HIGH,exact_code_plus_base_flag,1
4016,127,4791,HIGH,exact_code_plus_base_flag,1
4017,127,4792,HIGH,exact_code_plus_base_flag,1
