"original_path","archived_path","archive_status","existed_before","exists_after","notes"
"data/overlays/chapter19_11b_image_fetch_report.csv","archive\data_overlays\chapter19\chapter19_11b_image_fetch_report.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_11b_image_fetch_summary.txt","archive\data_overlays\chapter19\chapter19_11b_image_fetch_summary.txt","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_11c_image_resolution_and_fetch_report.csv","archive\data_overlays\chapter19\chapter19_11c_image_resolution_and_fetch_report.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_11c_image_resolution_and_fetch_summary.txt","archive\data_overlays\chapter19\chapter19_11c_image_resolution_and_fetch_summary.txt","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_7_install_plan.csv","archive\data_overlays\chapter19\chapter19_7_install_plan.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_7_install_plan.sql","archive\data_overlays\chapter19\chapter19_7_install_plan.sql","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_14_install_plan.csv","archive\data_overlays\chapter19\chapter19_14_install_plan.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_14_install_plan.sql","archive\data_overlays\chapter19\chapter19_14_install_plan.sql","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_8_live_pm_verification.csv","archive\data_overlays\chapter19\chapter19_8_live_pm_verification.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/chapter19_8_post_install_verification.csv","archive\data_overlays\chapter19\chapter19_8_post_install_verification.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/bulk_official_image_refresh_results.csv","archive\data_overlays\refresh_logs\bulk_official_image_refresh_results.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/op01_fetch_mirror_planning.csv","archive\op01\overlays\op01_fetch_mirror_planning.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/op01_image_quality_refresh_results.csv","archive\op01\overlays\op01_image_quality_refresh_results.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/op01_image_quality_sampling.csv","archive\op01\overlays\op01_image_quality_sampling.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/op01_image_root_correction_results.csv","archive\op01\overlays\op01_image_root_correction_results.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"data/overlays/op01_promo_path_fix_results.csv","archive\op01\overlays\op01_promo_path_fix_results.csv","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_map_candidates_20260404_001513/","archive\diagnostics\card_catalog_map_candidates_20260404_001513\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_map_candidates_20260404_001525/","archive\diagnostics\card_catalog_map_candidates_20260404_001525\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_overlay_dryrun_20260404_002605/","archive\diagnostics\card_catalog_overlay_dryrun_20260404_002605\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_probe_20260403_225927/","archive\diagnostics\card_catalog_probe_20260403_225927\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_reconciliation_20260403_234159/","archive\diagnostics\card_catalog_reconciliation_20260403_234159\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_reconciliation_20260403_234726/","archive\diagnostics\card_catalog_reconciliation_20260403_234726\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"diagnostics/card_catalog_reconciliation_20260403_235147/","archive\diagnostics\card_catalog_reconciliation_20260403_235147\","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"query_sp.py","archive\legacy_helpers\root\query_sp.py","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
"query_sp_images.py","archive\legacy_helpers\root\query_sp_images.py","ARCHIVED","true","false","Moved into archive/ with traceable lane-based subfolder."
