"path","delete_status","existed_before","exists_after","notes"
"tmp_base_merge_migration/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_base_suffix_diag/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_distribution_key_check/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_op01_base_diag/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_op01_rerun_verify/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_phase1_schema_migration/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_phase2_data_migration/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_phase3_verify/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_tcgcsv_op01_fix_verify/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_tcgcsv_op01_verify/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_tcgcsv_verify/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_variant_audit/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_variant_migration/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tests/_tmp/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"data/_tmp_image_ingest/","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_dev_status_live.json","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tmp_unittest_out.txt","DELETED","true","false","Removed exactly as listed in inventory delete set."
"dev_monitor_context_export.txt","DELETED","true","false","Removed exactly as listed in inventory delete set."
"dashboard_restart.log","DELETED","true","false","Removed exactly as listed in inventory delete set."
"card_catalog.db","DELETED","true","false","Removed exactly as listed in inventory delete set."
"card_catalog_pre_source_registry.db","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tools/asset_job_smoke.py","DELETED","true","false","Removed exactly as listed in inventory delete set."
"tools/delete_p038_p040.py","DELETED","true","false","Removed exactly as listed in inventory delete set."
"data/overlays/_op01_fetch_results.json","DELETED","true","false","Removed exactly as listed in inventory delete set."
"data/overlays/_op01_image_audit_raw.json","DELETED","true","false","Removed exactly as listed in inventory delete set."
"qc","DELETED","true","false","Removed exactly as listed in inventory delete set."
"query","DELETED","true","false","Removed exactly as listed in inventory delete set."
