path_or_project_key,type,status,recommended_action,reason,safe_to_remove_now,notes
C:\Users\andre\.codex\worktrees\0814\tcg-watcher,PROJECT_CONFIG_ENTRY,STALE_OLD_WORKTREE_BINDING,REMOVE_CONFIG,"Old Codex worktree binding, not canonical",true,exists=False
D:\docker\tcg-watcher\.claude\worktrees\practical-gagarin,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=False
D:\docker\tcg-watcher\.claude\worktrees\elegant-bell,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\gallant-kowalevski,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\stupefied-galileo,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\vigilant-shirley,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\optimistic-chebyshev,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\suspicious-shamir,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\youthful-albattani,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\hungry-lalande,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\cranky-kepler,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\upbeat-mccarthy,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\focused-visvesvaraya,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\upbeat-pascal,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\lucid-murdock,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\nice-vaughan,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\youthful-pare,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
D:\docker\tcg-watcher\.claude\worktrees\admiring-dhawan,PROJECT_CONFIG_ENTRY,STALE_NONCANONICAL_BINDING,REMOVE_CONFIG,"Old docker repo/worktree binding, not canonical",true,exists=True
C:\Users\andre\.codex\worktrees\0814\tcg-watcher\tcg-watcher\quizzical-roentgen,PROJECT_CONFIG_ENTRY,STALE_OLD_WORKTREE_BINDING,REMOVE_CONFIG,"Old Codex worktree binding, not canonical",true,exists=False
C:\Users\andre\.codex\worktrees\0814\tcg-watcher\tcg-watcher\pensive-grothendieck,PROJECT_CONFIG_ENTRY,STALE_OLD_WORKTREE_BINDING,REMOVE_CONFIG,"Old Codex worktree binding, not canonical",true,exists=False
D:\dev\tcg-watcher-worktree,PROJECT_CONFIG_ENTRY,ACTIVE_CANONICAL,KEEP,Canonical active repo binding,false,exists=True
C:/WINDOWS/system32,PROJECT_CONFIG_ENTRY,STALE_GHOST_BINDING,REMOVE_CONFIG,"Ghost system path binding, non-repo",true,exists=True
C:\Users\andre\.claude\projects\C--Users-andre--codex-worktrees-0814-tcg-watcher,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-04-03T12:26:08
C:\Users\andre\.claude\projects\C--Users-andre--codex-worktrees-0814-tcg-watcher-tcg-watcher-pensive-grothendieck,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-04-03T12:24:15
C:\Users\andre\.claude\projects\C--Users-andre--codex-worktrees-0814-tcg-watcher-tcg-watcher-quizzical-roentgen,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-04-03T11:57:57
C:\Users\andre\.claude\projects\D--dev-tcg-watcher-worktree,CLAUDE_PROJECT_FOLDER,ACTIVE_CANONICAL_CACHE,KEEP,Cache folder for canonical repo,false,last_write=2026-04-07T15:57:39
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-admiring-dhawan,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-04-03T11:44:52
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-cranky-kepler,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-26T09:26:04
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-elegant-bell,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-15T17:43:30
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-focused-visvesvaraya,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-27T13:02:01
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-gallant-kowalevski,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-15T19:15:31
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-lucid-murdock,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-31T13:58:15
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-nice-vaughan,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-31T17:07:36
