path_or_project_key,cleanup_action,existed_before,exists_after,notes
C:\Users\andre\.codex\worktrees\0814\tcg-watcher,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\practical-gagarin,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\elegant-bell,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\gallant-kowalevski,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\stupefied-galileo,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\vigilant-shirley,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\optimistic-chebyshev,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\suspicious-shamir,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\youthful-albattani,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\hungry-lalande,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\cranky-kepler,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\upbeat-mccarthy,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\focused-visvesvaraya,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\upbeat-pascal,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\lucid-murdock,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\nice-vaughan,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\youthful-pare,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
D:\docker\tcg-watcher\.claude\worktrees\admiring-dhawan,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
C:\Users\andre\.codex\worktrees\0814\tcg-watcher\tcg-watcher\quizzical-roentgen,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
C:\Users\andre\.codex\worktrees\0814\tcg-watcher\tcg-watcher\pensive-grothendieck,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
C:/WINDOWS/system32,FAILED,true,true,.claude.json write failed: [Errno 13] Permission denied: 'C:\\Users\\andre\\.claude.json'
C:\Users\andre\.claude\projects\C--Users-andre--codex-worktrees-0814-tcg-watcher,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\C--Users-andre--codex-worktrees-0814-tcg-watcher-tcg-watcher-pensive-grothendieck,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\C--Users-andre--codex-worktrees-0814-tcg-watcher-tcg-watcher-quizzical-roentgen,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-admiring-dhawan,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-cranky-kepler,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
