deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
41d9fcfb8f7d,OP01-001,OP01-120,4,,,,
41d9fcfb8f7d,OP01-001,OP01-018,4,,,,
41d9fcfb8f7d,OP01-001,OP01-022,4,,,,
41d9fcfb8f7d,OP01-001,OP01-023,4,,,,
41d9fcfb8f7d,OP01-001,OP01-025,4,,,,
41d9fcfb8f7d,OP01-001,OP01-027,4,,,,
41d9fcfb8f7d,OP01-001,OP01-004,3,,,,
41d9fcfb8f7d,OP01-001,OP01-014,3,,,,
41d9fcfb8f7d,OP01-001,OP01-017,3,,,,
41d9fcfb8f7d,OP01-001,OP01-021,3,,,,
41d9fcfb8f7d,OP01-001,OP01-026,3,,,,
41d9fcfb8f7d,OP01-001,OP01-013,2,,,,
41d9fcfb8f7d,OP01-001,OP01-024,2,,,,
