deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
7e3a65c713b1,OP02-001,OP02-014,4,,,,
7e3a65c713b1,OP02-001,OP02-015,4,,,,
7e3a65c713b1,OP02-001,OP02-021,4,,,,
7e3a65c713b1,OP02-001,OP02-022,4,,,,
7e3a65c713b1,OP02-001,OP02-017,4,,,,
7e3a65c713b1,OP02-001,OP02-013,4,,,,
7e3a65c713b1,OP02-001,OP02-012,3,,,,
7e3a65c713b1,OP02-001,OP02-023,3,,,,
7e3a65c713b1,OP02-001,OP02-009,3,,,,
7e3a65c713b1,OP02-001,OP02-019,3,,,,
7e3a65c713b1,OP02-001,OP02-008,3,,,,
7e3a65c713b1,OP02-001,OP02-018,3,,,,
7e3a65c713b1,OP02-001,OP02-003,3,,,,
7e3a65c713b1,OP02-001,OP02-004,2,,,,
7e3a65c713b1,OP02-001,OP02-024,3,,,,
