deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
f1a3808a0017,OP03-001,OP03-003,4,,,,
f1a3808a0017,OP03-001,OP03-005,4,,,,
f1a3808a0017,OP03-001,OP03-008,4,,,,
f1a3808a0017,OP03-001,OP03-017,4,,,,
f1a3808a0017,OP03-001,OP03-019,4,,,,
f1a3808a0017,OP03-001,OP03-009,4,,,,
f1a3808a0017,OP03-001,OP03-010,4,,,,
f1a3808a0017,OP03-001,OP03-011,4,,,,
f1a3808a0017,OP03-001,OP03-004,3,,,,
f1a3808a0017,OP03-001,OP03-007,3,,,,
f1a3808a0017,OP03-001,OP03-015,3,,,,
f1a3808a0017,OP03-001,OP03-018,3,,,,
f1a3808a0017,OP03-001,OP03-013,3,,,,
f1a3808a0017,OP03-001,OP03-020,2,,,,
f1a3808a0017,OP03-001,OP03-006,1,,,,
