deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
5d4e91607782,OP10-001,OP10-005,3,,,,
5d4e91607782,OP10-001,OP10-007,3,,,,
5d4e91607782,OP10-001,OP10-008,4,,,,
5d4e91607782,OP10-001,OP10-010,4,,,,
5d4e91607782,OP10-001,OP10-011,4,,,,
5d4e91607782,OP10-001,OP10-012,4,,,,
5d4e91607782,OP10-001,OP10-016,4,,,,
5d4e91607782,OP10-001,OP10-017,4,,,,
5d4e91607782,OP10-001,OP10-022,4,,,,
5d4e91607782,OP10-001,OP10-032,4,,,,
5d4e91607782,OP10-001,OP10-034,4,,,,
5d4e91607782,OP10-001,OP10-035,4,,,,
5d4e91607782,OP10-001,OP10-026,3,,,,
5d4e91607782,OP10-001,OP10-033,1,,,,
