deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
005ce7839a69,OP10-001,OP10-006,2,,,,
005ce7839a69,OP10-001,OP10-014,2,,,,
005ce7839a69,OP10-001,OP10-023,3,,,,
005ce7839a69,OP10-001,OP10-024,3,,,,
005ce7839a69,OP10-001,OP10-025,3,,,,
005ce7839a69,OP10-001,OP10-005,4,,,,
005ce7839a69,OP10-001,OP10-007,4,,,,
005ce7839a69,OP10-001,OP10-008,4,,,,
005ce7839a69,OP10-001,OP10-010,3,,,,
005ce7839a69,OP10-001,OP10-011,3,,,,
005ce7839a69,OP10-001,OP10-022,3,,,,
005ce7839a69,OP10-001,OP10-033,3,,,,
005ce7839a69,OP10-001,OP10-029,3,,,,
005ce7839a69,OP10-001,OP10-030,3,,,,
005ce7839a69,OP10-001,OP10-031,4,,,,
005ce7839a69,OP10-001,OP10-032,3,,,,
