deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
7d47310209f6,OP01-001,OP01-002,4,,,,
7d47310209f6,OP01-001,OP01-004,4,,,,
7d47310209f6,OP01-001,OP01-006,4,,,,
7d47310209f6,OP01-001,OP01-013,4,,,,
7d47310209f6,OP01-001,OP01-026,4,,,,
7d47310209f6,OP01-001,OP01-029,4,,,,
7d47310209f6,OP01-001,OP01-005,3,,,,
7d47310209f6,OP01-001,OP01-007,3,,,,
7d47310209f6,OP01-001,OP01-010,3,,,,
7d47310209f6,OP01-001,OP01-016,3,,,,
7d47310209f6,OP01-001,OP01-030,3,,,,
7d47310209f6,OP01-001,OP01-008,2,,,,
7d47310209f6,OP01-001,OP01-012,2,,,,
