deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
cce3063576b5,OP01-001,OP01-120,3,,,,
cce3063576b5,OP01-001,OP01-015,4,,,,
cce3063576b5,OP01-001,OP01-017,4,,,,
cce3063576b5,OP01-001,OP01-021,4,,,,
cce3063576b5,OP01-001,OP01-023,4,,,,
cce3063576b5,OP01-001,OP01-024,4,,,,
cce3063576b5,OP01-001,OP01-025,4,,,,
cce3063576b5,OP01-001,OP01-027,4,,,,
cce3063576b5,OP01-001,OP01-004,3,,,,
cce3063576b5,OP01-001,OP01-013,3,,,,
cce3063576b5,OP01-001,OP01-014,3,,,,
cce3063576b5,OP01-001,OP01-026,3,,,,
cce3063576b5,OP01-001,OP01-008,2,,,,
cce3063576b5,OP01-001,OP01-018,2,,,,
