deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
c7b018d90783,OP02-001,OP02-010,4,,,,
c7b018d90783,OP02-001,OP02-014,4,,,,
c7b018d90783,OP02-001,OP02-015,4,,,,
c7b018d90783,OP02-001,OP02-016,4,,,,
c7b018d90783,OP02-001,OP02-021,4,,,,
c7b018d90783,OP02-001,OP02-022,4,,,,
c7b018d90783,OP02-001,OP02-023,4,,,,
c7b018d90783,OP02-001,OP02-017,4,,,,
c7b018d90783,OP02-001,OP02-012,3,,,,
c7b018d90783,OP02-001,OP02-009,3,,,,
c7b018d90783,OP02-001,OP02-011,3,,,,
c7b018d90783,OP02-001,OP02-019,3,,,,
c7b018d90783,OP02-001,OP02-018,3,,,,
c7b018d90783,OP02-001,OP02-003,2,,,,
c7b018d90783,OP02-001,OP02-024,1,,,,
