deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
f13dd67bcdc9,OP03-001,OP03-005,4,,,,
f13dd67bcdc9,OP03-001,OP03-008,4,,,,
f13dd67bcdc9,OP03-001,OP03-017,4,,,,
f13dd67bcdc9,OP03-001,OP03-019,4,,,,
f13dd67bcdc9,OP03-001,OP03-018,4,,,,
f13dd67bcdc9,OP03-001,OP03-009,3,,,,
f13dd67bcdc9,OP03-001,OP03-010,3,,,,
f13dd67bcdc9,OP03-001,OP03-004,3,,,,
f13dd67bcdc9,OP03-001,OP03-007,3,,,,
f13dd67bcdc9,OP03-001,OP03-006,3,,,,
f13dd67bcdc9,OP03-001,OP03-012,3,,,,
f13dd67bcdc9,OP03-001,OP03-013,3,,,,
f13dd67bcdc9,OP03-001,OP03-015,3,,,,
f13dd67bcdc9,OP03-001,OP03-016,3,,,,
f13dd67bcdc9,OP03-001,OP03-014,2,,,,
f13dd67bcdc9,OP03-001,OP03-020,1,,,,
