deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
1b9a76c4a954,OP10-001,OP10-004,4,,,,
1b9a76c4a954,OP10-001,OP10-008,4,,,,
1b9a76c4a954,OP10-001,OP10-012,4,,,,
1b9a76c4a954,OP10-001,OP10-016,4,,,,
1b9a76c4a954,OP10-001,OP10-017,4,,,,
1b9a76c4a954,OP10-001,OP10-018,4,,,,
1b9a76c4a954,OP10-001,OP10-019,4,,,,
1b9a76c4a954,OP10-001,OP10-020,4,,,,
1b9a76c4a954,OP10-001,OP10-021,4,,,,
1b9a76c4a954,OP10-001,OP10-026,3,,,,
1b9a76c4a954,OP10-001,OP10-027,3,,,,
1b9a76c4a954,OP10-001,OP10-028,3,,,,
1b9a76c4a954,OP10-001,OP10-033,4,,,,
1b9a76c4a954,OP10-001,OP10-037,1,,,,
