deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
2d3aaaed3c68,OP10-001,OP10-005,4,,,,
2d3aaaed3c68,OP10-001,OP10-007,4,,,,
2d3aaaed3c68,OP10-001,OP10-008,4,,,,
2d3aaaed3c68,OP10-001,OP10-010,4,,,,
2d3aaaed3c68,OP10-001,OP10-011,4,,,,
2d3aaaed3c68,OP10-001,OP10-012,4,,,,
2d3aaaed3c68,OP10-001,OP10-016,4,,,,
2d3aaaed3c68,OP10-001,OP10-017,4,,,,
2d3aaaed3c68,OP10-001,OP10-022,4,,,,
2d3aaaed3c68,OP10-001,OP10-032,4,,,,
2d3aaaed3c68,OP10-001,OP10-034,3,,,,
2d3aaaed3c68,OP10-001,OP10-035,3,,,,
2d3aaaed3c68,OP10-001,OP10-036,4,,,,
