deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
14b11cd1c64d,OP01-001,OP01-004,4,,,,
14b11cd1c64d,OP01-001,OP01-006,4,,,,
14b11cd1c64d,OP01-001,OP01-007,4,,,,
14b11cd1c64d,OP01-001,OP01-010,4,,,,
14b11cd1c64d,OP01-001,OP01-029,4,,,,
14b11cd1c64d,OP01-001,OP01-030,4,,,,
14b11cd1c64d,OP01-001,OP01-002,3,,,,
14b11cd1c64d,OP01-001,OP01-005,3,,,,
14b11cd1c64d,OP01-001,OP01-013,3,,,,
14b11cd1c64d,OP01-001,OP01-016,3,,,,
14b11cd1c64d,OP01-001,OP01-026,3,,,,
14b11cd1c64d,OP01-001,OP01-008,2,,,,
14b11cd1c64d,OP01-001,OP01-012,2,,,,
14b11cd1c64d,OP01-001,OP01-015,2,,,,
