deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
eff24db3bb88,OP01-001,OP01-006,4,,,,
eff24db3bb88,OP01-001,OP01-010,4,,,,
eff24db3bb88,OP01-001,OP01-016,4,,,,
eff24db3bb88,OP01-001,OP01-029,4,,,,
eff24db3bb88,OP01-001,OP01-030,4,,,,
eff24db3bb88,OP01-001,OP01-028,4,,,,
eff24db3bb88,OP01-001,OP01-004,4,,,,
eff24db3bb88,OP01-001,OP01-019,4,,,,
eff24db3bb88,OP01-001,OP01-013,3,,,,
eff24db3bb88,OP01-001,OP01-012,3,,,,
eff24db3bb88,OP01-001,OP01-007,3,,,,
eff24db3bb88,OP01-001,OP01-026,3,,,,
eff24db3bb88,OP01-001,OP01-015,2,,,,
eff24db3bb88,OP01-001,OP01-005,2,,,,
eff24db3bb88,OP01-001,OP01-008,2,,,,
