deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
057b39fb7a9c,OP02-001,OP02-010,4,,,,
057b39fb7a9c,OP02-001,OP02-015,4,,,,
057b39fb7a9c,OP02-001,OP02-016,4,,,,
057b39fb7a9c,OP02-001,OP02-021,4,,,,
057b39fb7a9c,OP02-001,OP02-022,4,,,,
057b39fb7a9c,OP02-001,OP02-023,4,,,,
057b39fb7a9c,OP02-001,OP02-017,3,,,,
057b39fb7a9c,OP02-001,OP02-009,3,,,,
057b39fb7a9c,OP02-001,OP02-011,3,,,,
057b39fb7a9c,OP02-001,OP02-019,3,,,,
057b39fb7a9c,OP02-001,OP02-003,3,,,,
057b39fb7a9c,OP02-001,OP02-008,3,,,,
057b39fb7a9c,OP02-001,OP02-018,3,,,,
057b39fb7a9c,OP02-001,OP02-006,2,,,,
057b39fb7a9c,OP02-001,OP02-013,2,,,,
057b39fb7a9c,OP02-001,OP02-024,1,,,,
