deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
8516fcaee26f,OP03-001,OP03-005,4,,,,
8516fcaee26f,OP03-001,OP03-008,4,,,,
8516fcaee26f,OP03-001,OP03-017,4,,,,
8516fcaee26f,OP03-001,OP03-019,4,,,,
8516fcaee26f,OP03-001,OP03-018,4,,,,
8516fcaee26f,OP03-001,OP03-003,4,,,,
8516fcaee26f,OP03-001,OP03-009,3,,,,
8516fcaee26f,OP03-001,OP03-010,3,,,,
8516fcaee26f,OP03-001,OP03-011,3,,,,
8516fcaee26f,OP03-001,OP03-007,3,,,,
8516fcaee26f,OP03-001,OP03-004,3,,,,
8516fcaee26f,OP03-001,OP03-013,3,,,,
8516fcaee26f,OP03-001,OP03-015,3,,,,
8516fcaee26f,OP03-001,OP03-012,2,,,,
8516fcaee26f,OP03-001,OP03-016,2,,,,
8516fcaee26f,OP03-001,OP03-020,1,,,,
