deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
9b36434772cf,OP10-001,OP10-005,4,,,,
9b36434772cf,OP10-001,OP10-007,4,,,,
9b36434772cf,OP10-001,OP10-008,4,,,,
9b36434772cf,OP10-001,OP10-010,4,,,,
9b36434772cf,OP10-001,OP10-011,4,,,,
9b36434772cf,OP10-001,OP10-012,3,,,,
9b36434772cf,OP10-001,OP10-016,3,,,,
9b36434772cf,OP10-001,OP10-017,3,,,,
9b36434772cf,OP10-001,OP10-022,4,,,,
9b36434772cf,OP10-001,OP10-032,4,,,,
9b36434772cf,OP10-001,OP10-034,4,,,,
9b36434772cf,OP10-001,OP10-035,3,,,,
9b36434772cf,OP10-001,OP10-033,2,,,,
9b36434772cf,OP10-001,OP10-036,4,,,,
