deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
16728bcc64f1,OP01-001,OP01-016,4,,,,
16728bcc64f1,OP01-001,OP01-010,4,,,,
16728bcc64f1,OP01-001,OP01-029,4,,,,
16728bcc64f1,OP01-001,OP01-030,4,,,,
16728bcc64f1,OP01-001,OP01-028,4,,,,
16728bcc64f1,OP01-001,OP01-026,4,,,,
16728bcc64f1,OP01-001,OP01-013,3,,,,
16728bcc64f1,OP01-001,OP01-004,3,,,,
16728bcc64f1,OP01-001,OP01-027,3,,,,
16728bcc64f1,OP01-001,OP01-007,3,,,,
16728bcc64f1,OP01-001,OP01-015,3,,,,
16728bcc64f1,OP01-001,OP01-017,3,,,,
16728bcc64f1,OP01-001,OP01-005,3,,,,
16728bcc64f1,OP01-001,OP01-021,3,,,,
16728bcc64f1,OP01-001,OP01-008,2,,,,
