deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
ec2776b12de6,OP03-001,OP03-003,4,,,,
ec2776b12de6,OP03-001,OP03-005,4,,,,
ec2776b12de6,OP03-001,OP03-008,4,,,,
ec2776b12de6,OP03-001,OP03-017,4,,,,
ec2776b12de6,OP03-001,OP03-019,4,,,,
ec2776b12de6,OP03-001,OP03-009,3,,,,
ec2776b12de6,OP03-001,OP03-010,3,,,,
ec2776b12de6,OP03-001,OP03-011,3,,,,
ec2776b12de6,OP03-001,OP03-004,3,,,,
ec2776b12de6,OP03-001,OP03-007,3,,,,
ec2776b12de6,OP03-001,OP03-013,3,,,,
ec2776b12de6,OP03-001,OP03-014,3,,,,
ec2776b12de6,OP03-001,OP03-018,3,,,,
ec2776b12de6,OP03-001,OP03-012,2,,,,
ec2776b12de6,OP03-001,OP03-020,2,,,,
ec2776b12de6,OP03-001,OP03-016,1,,,,
ec2776b12de6,OP03-001,OP03-015,1,,,,
