deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
23d812b53905,OP10-001,OP10-005,4,,,,
23d812b53905,OP10-001,OP10-007,4,,,,
23d812b53905,OP10-001,OP10-008,4,,,,
23d812b53905,OP10-001,OP10-012,4,,,,
23d812b53905,OP10-001,OP10-010,4,,,,
23d812b53905,OP10-001,OP10-011,4,,,,
23d812b53905,OP10-001,OP10-016,4,,,,
23d812b53905,OP10-001,OP10-017,3,,,,
23d812b53905,OP10-001,OP10-022,4,,,,
23d812b53905,OP10-001,OP10-032,3,,,,
23d812b53905,OP10-001,OP10-034,4,,,,
23d812b53905,OP10-001,OP10-035,4,,,,
23d812b53905,OP10-001,OP10-036,4,,,,
